idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,test_auc,test_acc,val_auc,val_acc
42,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.58510511031511,75.81047381546135,92.4111478372034,76.47058823529412
43,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.82942048196318,73.81546134663341,92.54145852867241,73.57926221335993
44,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.68146954589422,73.46633416458853,92.3061982439436,72.68195413758724
45,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,92.2203801817275,76.00997506234414,92.39656716104206,75.87238285144566
46,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.00488391542413,73.56608478802993,92.41086171140037,74.8753738783649
47,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.14523115218265,74.51371571072319,92.79921527132734,75.97208374875373
48,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.75106717274242,75.06234413965088,92.11542128831488,75.17447657028913
49,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.75215560337637,74.06483790523691,92.3842014629302,74.8753738783649
50,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,92.19616262303325,75.61097256857855,92.74977895872578,74.77567298105683
51,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.03596107694398,72.16957605985037,91.78126187119379,71.9840478564307
52,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.15036122789255,71.2219451371571,91.97768471118779,71.78464606181456
53,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.9056879111779,74.56359102244389,92.90076891928744,74.47657028913261
54,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.63287087506122,74.66334164588528,92.39641517425954,74.67597208374876
55,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.46159599603051,73.96508728179552,92.22852444872284,73.37986041874377
56,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,92.10975407162579,73.51620947630923,92.13063240957598,73.28015952143569
57,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.50268373373504,73.91521197007481,92.55130673808718,74.97507477567298
58,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.80987940404141,75.76059850374065,92.35433663166557,75.97208374875373
59,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.87794792051321,74.46384039900249,92.49941417483943,74.57627118644068
60,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,92.55374657084407,76.40897755610972,93.1913041533595,77.96610169491525
61,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.54199377433386,74.81296758104739,92.35653809134725,75.2741774675972
62,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.31319441196291,74.11471321695761,92.31885616802677,75.3738783649053
63,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,91.35441248817314,74.61346633416458,92.6144358942163,73.87836490528414
64,0.003,48,0.225,4,3,6,4,1e-07,False,False,True,True,False,kipu,best,90.60486599872596,73.91521197007481,92.45234847567453,72.78165503489531
