idx,quantum_mlp,test_auc,test_acc,val_auc,val_acc,#params
18,True,91.87528566823977,74.3640897755611,92.62109539461257,75.2741774675972,47327
18,False,92.1814397272027,75.46134663341645,92.83375292230974,75.07477567298105,47351
19,True,91.86205178539845,74.713216957606,93.23451406976527,75.2741774675972,47327
19,False,91.60929217542565,74.4139650872818,92.9582744580449,74.67597208374876,47351
20,True,91.97222861104757,74.96259351620948,92.89390425226769,74.27716849451646,47327
20,False,91.80837262817901,75.66084788029926,92.76606249492586,75.67298105682951,47351
21,True,91.71509547404078,75.36159600997506,92.76430070011801,75.3738783649053,47327
21,False,92.05441533583326,75.56109725685786,92.56651501774613,75.3738783649053,47351
22,True,92.31675547685919,75.41147132169576,93.15836482518712,75.87238285144566,47327
22,False,91.80243103459475,75.51122194513715,92.79524703897987,74.37686939182453,47351
23,True,91.71614739357848,74.61346633416458,92.77397442499812,75.07477567298105,47327
23,False,92.04110441302727,74.51371571072319,92.9595987406579,74.67597208374876,47351
24,True,91.91099636720669,75.56109725685786,92.94118948538951,75.87238285144566,47327
24,False,91.83308467891648,75.21197007481297,93.07958471869308,76.17148554336988,47351
25,True,91.94374898015593,74.61346633416458,92.87609513776167,75.87238285144566,47327
25,False,91.74721314290873,75.71072319201994,92.68543824420844,74.97507477567298,47351
26,True,92.08794478253857,75.36159600997506,92.58343086580592,76.07178464606181,47327
26,False,92.1912812906816,75.31172069825436,92.66812326395151,75.87238285144566,47351
27,True,92.52227744835562,76.25935162094764,92.9181886633941,74.97507477567298,47327
27,False,92.17931222296693,75.51122194513715,93.21647605073613,75.87238285144566,47351
28,True,91.68539094677618,74.61346633416458,92.92059342377834,75.47357926221336,47327
28,False,92.06083032249477,74.76309226932668,93.18020734918677,76.27118644067797,47351
29,True,91.77585266181919,74.81296758104739,92.75681881457339,75.57328015952145,47327
29,False,91.77910277239711,75.71072319201994,92.75621841663772,75.47357926221336,47351
30,True,91.60346948978922,76.05985037406484,92.81713770681289,73.97806580259221,47327
30,False,91.87497122149438,74.713216957606,92.91978933223368,74.67597208374876,47351
31,True,91.91317712261323,75.91022443890274,93.11173762916329,75.57328015952145,47327
31,False,91.90857139700546,74.96259351620948,92.92853005773071,75.87238285144566,47351
32,True,92.19189017106643,74.96259351620948,92.77648847669987,75.07477567298105,47327
32,False,91.77554588385378,75.56109725685786,92.76739094301313,76.07178464606181,47351
33,True,92.21272556240346,75.46134663341645,92.96044018953545,75.3738783649053,47327
33,False,91.82532735984505,74.51371571072319,92.59137630067488,75.47357926221336,47351
34,True,91.78152779494476,75.36159600997506,92.98430563716192,76.47058823529412,47327
34,False,92.03975347657637,75.26184538653366,92.78981400766268,74.8753738783649,47351
35,True,91.95169646771261,74.51371571072319,92.5658473845628,75.3738783649053,47327
35,False,91.77725832821187,74.214463840399,92.68884469105636,74.77567298105683,47351
36,True,91.87651545632721,75.26184538653366,92.7240339939669,75.3738783649053,47327
36,False,92.055354787001,74.61346633416458,92.7623228290611,75.47357926221336,47351
37,True,92.09461831791985,75.51122194513715,92.99959901874931,76.37088733798603,47327
37,False,92.24397061648544,75.91022443890274,93.00233087087449,77.26819541375872,47351
38,True,92.08274254749026,75.01246882793018,93.17799447917226,75.97208374875373,47327
38,False,92.17622055809358,76.60847880299252,93.07927207346019,76.17148554336988,47351
39,True,91.81908755350145,75.51122194513715,92.65757806789414,73.678963110668,47327
39,False,92.24181764851434,75.91022443890274,92.95693118333989,75.2741774675972,47351
40,True,91.93981126116086,75.51122194513715,93.12781016770637,75.47357926221336,47327
40,False,92.10631747311967,75.26184538653366,93.38538743991445,76.5702891326022,47351
41,True,91.71783240661814,75.51122194513715,92.72331631110058,75.57328015952145,47327
41,False,92.30228162250135,75.41147132169576,92.96065597869756,75.07477567298105,47351
42,True,91.41597448115688,74.2643391521197,93.16537413964274,74.97507477567298,47327
42,False,91.72126758254261,75.16209476309227,92.97723787679001,75.47357926221336,47351
43,True,91.85071887770958,74.3142144638404,92.61181925221821,75.67298105682951,47327
43,False,92.38339260121549,75.56109725685786,92.78341059907704,74.77567298105683,47351
44,True,92.18677882510188,74.96259351620948,92.65048523142706,74.67597208374876,47327
44,False,92.30944078589772,75.26184538653366,93.00281674750724,76.27118644067797,47351
45,True,91.70960789991204,74.76309226932668,92.72928307375946,75.3738783649053,47327
45,False,92.11041939235542,76.00997506234414,92.88564642686623,75.47357926221336,47351
46,True,92.03281895768264,75.41147132169576,92.60690213647284,74.8753738783649,47327
46,False,92.16297786042867,75.81047381546135,93.17114226589098,76.86939182452642,47351
47,True,92.11784697378192,75.71072319201994,93.27390641109233,75.97208374875373,47327
47,False,91.68524459365283,74.61346633416458,92.50538121020487,74.97507477567298,47351
48,True,91.86420627156787,74.96259351620948,92.57532257589659,75.47357926221336,47327
48,False,92.32345194373269,75.01246882793018,92.92509992079952,75.57328015952145,47351
49,True,91.87287564049443,75.21197007481297,92.66267545194654,75.57328015952145,47327
49,False,91.84746798313316,74.96259351620948,92.35785719145461,74.0777666999003,47351
50,True,91.98077698752961,75.11221945137157,92.86012662128556,74.97507477567298,47327
50,False,92.09584089988752,75.46134663341645,92.8884149316686,75.47357926221336,47351
51,True,91.53906863770345,74.214463840399,92.3518444224731,74.8753738783649,47327
51,False,92.07274476980906,75.21197007481297,92.97109276937275,75.97208374875373,47351
52,True,92.38927705058909,75.46134663341645,93.00682818835521,74.8753738783649,47327
52,False,91.87368963196467,75.96009975062344,92.93267842433137,75.87238285144566,47351
53,True,92.0781339524875,74.86284289276807,92.79761211109525,74.0777666999003,47327
53,False,91.74326568744426,74.96259351620948,92.84703869423572,75.2741774675972,47351
54,True,91.8782907935966,75.91022443890274,93.19640172400027,75.57328015952145,47327
54,False,92.2771090235113,74.713216957606,93.06878704602676,75.57328015952145,47351
55,True,92.03121029194564,76.05985037406484,92.57589865680383,74.8753738783649,47327
