idx,mlp_size,test_auc,test_acc,val_auc,val_acc,#params
0,2,91.65009266687497,74.66334164588528,92.93356068784415,75.67298105682951,26155
0,3,91.97516600350261,75.16209476309227,93.24440249091589,76.86939182452642,26943
0,4,92.03785817701304,75.31172069825436,93.0631885921788,76.5702891326022,27735
0,5,92.04745218271039,74.86284289276807,92.85240920380532,75.17447657028913,28531
0,6,92.08493148347932,75.36159600997506,92.83593273459933,75.67298105682951,29331
0,7,92.01667417744504,75.41147132169576,92.35839984716372,74.17746759720838,30135
0,8,91.98077133078819,75.16209476309227,92.65636761147248,75.2741774675972,30943
0,9,92.10605104940133,75.06234413965088,93.07600979351689,75.67298105682951,31755
0,10,91.54227709695944,75.16209476309227,92.60711704898154,74.27716849451646,32571
0,11,92.24658317580544,76.70822942643392,93.12742266087717,76.17148554336988,33391
0,12,92.33790147789998,75.11221945137157,93.21843822020821,75.2741774675972,34215
0,13,92.27676802886408,74.76309226932668,93.42530327005346,76.66999002991027,35043
0,14,92.01200223721796,75.56109725685786,92.92759196065784,75.2741774675972,35875
0,15,92.32952822711482,75.46134663341645,93.36435163993704,75.57328015952145,36711
0,16,92.33453231001383,74.86284289276807,92.92341031307726,75.67298105682951,37551
0,17,91.88989791054586,74.86284289276807,93.22719826713441,75.77268195413758,38395
0,18,91.82168787431986,74.76309226932668,92.72927992243547,75.87238285144566,39243
1,2,92.3885559368892,76.20947630922693,92.8599072177289,74.97507477567298,26155
1,3,92.24377754327894,75.71072319201994,93.20473052334552,77.16849451645065,26943
1,4,91.923819520031,75.71072319201994,92.7110468724852,75.3738783649053,27735
1,5,91.90991008667397,74.91271820448878,92.4585562518633,73.77866400797608,28531
1,6,91.9644626976219,74.91271820448878,92.92404987140908,74.67597208374876,29331
1,7,92.72258391365877,76.55860349127181,93.31754238553275,75.17447657028913,30135
1,8,92.22151612967212,76.10972568578553,92.38003371538076,74.77567298105683,30943
1,9,91.97937753663868,76.05985037406484,93.23407165150938,74.97507477567298,31755
1,10,92.42300146192858,74.86284289276807,93.14633405137444,75.07477567298105,32571
1,11,92.3788713699407,75.06234413965088,92.87081658261907,76.47058823529412,33391
1,12,91.5749966758909,74.61346633416458,92.44614792256782,75.77268195413758,34215
1,13,92.21913062400905,74.214463840399,92.89424274044819,75.17447657028913,35043
1,14,92.1048709414228,75.06234413965088,92.94362085366916,76.37088733798603,35875
1,15,92.25327540559262,74.96259351620948,92.9774803273564,75.17447657028913,36711
1,16,92.25353622872555,74.96259351620948,92.99379126989854,75.87238285144566,37551
1,17,92.10848171911091,73.36658354114714,93.00472828835348,74.47657028913261,38395
1,18,92.38071728106976,76.15960099750623,93.08831297487211,75.3738783649053,39243
2,2,91.9025615840393,75.46134663341645,92.83148144037067,75.07477567298105,26155
2,3,91.86510921208072,74.2643391521197,92.4354308223516,74.8753738783649,26943
2,4,92.472213771265,75.36159600997506,93.11248369295484,75.3738783649053,27735
2,5,92.32762569745925,76.00997506234414,92.89409355595382,75.47357926221336,28531
2,6,92.3313909051312,75.91022443890274,93.11951404059035,74.67597208374876,29331
2,7,92.05672449293107,75.46134663341645,92.75919193769403,75.57328015952145,30135
2,8,92.45374613770106,74.1645885286783,92.97750236128108,74.8753738783649,30943
2,9,91.9416879455242,75.41147132169576,92.89016382868837,75.47357926221336,31755
2,10,92.39057150313414,75.81047381546135,93.03032856398885,75.57328015952145,32571
2,11,92.21460678310305,76.25935162094764,93.2922446779412,74.8753738783649,33391
2,12,92.02992182101147,75.61097256857855,92.33736623018103,74.57627118644068,34215
2,13,92.5893795109981,75.76059850374065,93.18594739688493,75.97208374875373,35043
2,14,92.34551676218055,74.86284289276807,93.40119958325225,74.57627118644068,35875
2,15,92.12480460649253,74.2643391521197,92.75227274742649,75.47357926221336,36711
2,16,91.77744631875514,74.81296758104739,92.77978422038204,75.3738783649053,37551
2,17,92.52010916113478,76.00997506234414,92.852655848834,75.87238285144566,38395
2,18,92.35277997618772,75.16209476309227,92.74118458576798,74.57627118644068,39243
3,2,91.4758996968789,73.81546134663341,92.31992932943663,75.77268195413758,26155
3,3,91.95001100049743,76.70822942643392,93.12910995566529,75.77268195413758,26943
3,4,91.56416831027167,73.71571072319202,92.49201323641415,74.67597208374876,27735
3,5,91.88297558664289,75.51122194513715,92.72553762936694,73.97806580259221,28531
3,6,92.08220861035181,75.06234413965088,93.16002292282502,74.47657028913261,29331
3,7,92.40332968916597,75.21197007481297,93.15876293815742,75.67298105682951,30135
3,8,92.1489658219645,75.36159600997506,92.71863925707302,76.17148554336988,30943
3,9,92.13159077016637,75.11221945137157,92.9825144486502,74.97507477567298,31755
3,10,92.45947339776338,75.46134663341645,93.26297636346766,75.57328015952145,32571
3,11,92.34688547698782,75.26184538653366,93.1129113074217,76.76969092721835,33391
3,12,92.36065482019855,74.86284289276807,93.12831910519517,74.77567298105683,34215
3,13,92.47983749954463,75.36159600997506,93.18323106532652,74.97507477567298,35043
3,14,91.67348156905175,75.16209476309227,92.33523818686128,74.97507477567298,35875
3,15,92.05138811845734,75.66084788029926,92.93412816533477,74.77567298105683,36711
3,16,91.95726909593127,75.46134663341645,92.62565345179496,74.77567298105683,37551
3,17,92.69345007460491,76.45885286783043,93.48998714249788,75.77268195413758,38395
3,18,92.4493677625595,74.3142144638404,93.221717894359,74.8753738783649,39243
4,2,91.87511681344603,75.86034912718205,92.9675680941065,75.77268195413758,26155
4,3,92.46264489345636,75.06234413965088,92.52864839150288,74.97507477567298,26943
4,4,91.72728227634322,74.713216957606,92.66454729105071,75.3738783649053,27735
4,5,91.50188036947162,74.06483790523691,92.09908542544883,74.0777666999003,28531
4,6,92.24746744768666,75.16209476309227,93.04749368406132,75.17447657028913,29331
4,7,92.28543232497707,75.36159600997506,93.33027285033339,75.2741774675972,30135
4,8,92.44915893228385,75.66084788029926,92.74826683919414,75.67298105682951,30943
4,9,92.08444662305936,75.41147132169576,93.23307391753363,75.57328015952145,31755
4,10,92.42660629573291,75.16209476309227,93.28466831431209,75.2741774675972,32571
4,11,92.23083509912016,75.21197007481297,93.22465422722411,75.77268195413758,33391
4,12,91.60482623053264,74.4139650872818,92.74665371398402,74.27716849451646,34215
4,13,92.19445828502433,75.41147132169576,92.73890334000883,74.67597208374876,35043
4,14,92.69547442986281,76.9576059850374,93.19868130250885,75.2741774675972,35875
4,15,92.46504743928219,75.91022443890274,93.02317146992876,76.07178464606181,36711
4,16,92.3603935035746,75.31172069825436,92.95191129349033,75.67298105682951,37551
4,17,92.35283777600478,74.713216957606,93.08599454829708,75.17447657028913,38395
4,18,92.42601700046593,76.45885286783043,93.22111892823798,75.2741774675972,39243
5,2,91.64036771184627,74.06483790523691,92.73363048618828,75.77268195413758,26155
5,3,91.49482431647259,74.713216957606,92.35454562688642,74.97507477567298,26943
5,4,92.18147084587514,75.71072319201994,93.08929405177136,75.57328015952145,27735
5,5,92.06047555908063,75.71072319201994,92.92112088315628,75.67298105682951,28531
5,6,92.25866890180534,76.15960099750623,93.05205449547175,74.8753738783649,29331
5,7,92.2968785409018,75.46134663341645,93.02922165627609,75.17447657028913,30135
5,8,92.52655470035641,76.25935162094764,93.0590625646092,75.3738783649053,30943
5,9,92.17195147203549,75.31172069825436,92.67268753742412,75.07477567298105,31755
