idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,RD,convolutional,paralel,test_auc,test_acc,val_auc,val_acc
24,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,1,True,1,91.93332769013158,74.91271820448878,74.713216957606,92.65629954652212
25,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,1,92.40689656456358,75.21197007481297,75.71072319201994,92.56801817509377
26,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,1,True,1,92.0416125140535,74.46384039900249,74.2643391521197,93.13176095032439
27,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,1,True,1,92.19507196526466,74.214463840399,73.36658354114714,92.74165984345363
28,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,1,92.38243253181194,74.56359102244389,74.56359102244389,92.84665299741435
29,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,1,91.83559052775713,74.713216957606,74.81296758104739,93.10655461229005
30,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,1,91.92509491248116,74.214463840399,74.214463840399,92.95784753543349
31,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,1,True,1,92.4300025498069,75.26184538653366,74.56359102244389,92.99717626097728
32,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,1,92.40862560956545,75.11221945137157,75.16209476309227,92.86749685839928
33,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,1,True,1,92.18259688621589,75.21197007481297,74.81296758104739,93.03502430375198
34,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,1,True,1,92.42179820317651,74.81296758104739,74.86284289276807,92.79267961491851
35,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,1,91.6226140722877,73.61596009975062,74.3640897755611,92.72525907139865
36,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,1,92.23893637962709,74.0149625935162,74.76309226932668,93.06134980189343
37,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,1,92.4460187214394,75.51122194513715,75.61097256857855,92.79461946313481
38,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,1,True,1,92.00295221618403,75.36159600997506,74.76309226932668,92.86007945108416
39,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,1,92.25303434811768,73.46633416458853,74.96259351620948,92.80206145945412
40,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,1,True,1,92.03113035722943,74.96259351620948,74.56359102244389,92.77416561381926
41,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,1,True,1,92.18171501636053,74.81296758104739,74.713216957606,93.32636446671073
42,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,1,True,1,92.03891104187986,75.21197007481297,75.06234413965088,92.7230571909836
43,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,1,True,1,91.80369964455167,74.61346633416458,74.4139650872818,92.7081000132915
44,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,1,92.21695727419161,74.3142144638404,74.3142144638404,93.13996397749423
45,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,1,True,1,91.78280736528663,74.713216957606,74.214463840399,92.50558972267171
46,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,1,92.15354473903685,74.66334164588528,75.16209476309227,93.27795012472127
47,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,1,92.34869301920475,73.86533665835412,74.3640897755611,92.90254422462499
48,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,1,91.99548664664164,74.06483790523691,74.2643391521197,92.91453454575718
