idx,dropout,lr,quantum_data,test_auc,test_acc,val_auc,val_acc,#params,RD
5,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.86785295690981,73.16708229426435,91.91799048719635,74.17746759720838,1300959,2
5,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.70408592560352,73.91521197007481,92.140361113322,74.97507477567298,572235,1
5,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,87.47336392852479,71.77057356608478,90.25881802438771,70.48853439680957,374907,1
5,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.19614077781002,74.76309226932668,92.21380241722242,74.57627118644068,104667,1
5,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,90.75759539906672,73.36658354114714,91.61500725229148,73.87836490528414,31755,1
6,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.47928191877487,73.01745635910224,91.35232003826349,73.37986041874377,1300959,2
6,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.30275293336344,73.96508728179552,92.44780533421634,74.37686939182453,572235,1
6,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.27639992435029,70.92269326683291,90.60667913486536,70.68793619142572,374907,1
6,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.56997516109617,73.21695760598503,92.56002580791717,72.88135593220339,104667,1
6,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.30793919756987,73.41645885286783,92.20299586824166,70.28913260219342,31755,1
7,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.44418091750931,71.4214463840399,91.55338302824696,73.678963110668,1300959,2
7,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.65743039160238,75.06234413965088,92.50073049971438,74.77567298105683,572235,1
7,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.38526457362124,70.72319201995012,90.90692945879927,69.39182452642075,374907,1
7,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.6646992145457,75.11221945137157,92.42351432752375,73.87836490528414,104667,1
7,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.47072417920612,74.51371571072319,92.53925878149535,74.37686939182453,31755,1
8,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.0923644296039,73.06733167082294,92.12067900657226,74.8753738783649,1300959,2
8,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.56381474226629,74.86284289276807,92.36796286155592,74.97507477567298,572235,1
8,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.32565340542794,71.6209476309227,90.63614307014046,71.1864406779661,374907,1
8,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.08928340263071,74.3142144638404,92.21644693338446,72.88135593220339,104667,1
8,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.52153703654896,74.51371571072319,92.07398644319143,74.27716849451646,31755,1
9,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.07321162934501,73.56608478802993,91.93042819716227,75.2741774675972,1300959,2
9,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.42669617453268,72.61845386533666,91.7817892549569,75.47357926221336,572235,1
9,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.62552207323508,70.17456359102245,90.25814877031453,69.79062811565304,374907,1
9,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.36353566380765,75.46134663341645,92.39747354703995,74.0777666999003,104667,1
9,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.3495234505963,74.214463840399,92.43797042066102,73.28015952143569,31755,1
10,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.17713690583582,74.56359102244389,92.06080548675547,74.77567298105683,1300959,2
10,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.32158346170512,73.31670822942642,92.1338113177879,73.08075772681954,572235,1
10,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,89.56447424147589,73.01745635910224,91.28249075715277,73.57926221335993,374907,1
10,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.32279829001789,74.66334164588528,92.32786927568145,74.67597208374876,104667,1
10,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.19515079335424,73.46633416458853,92.03383806677675,73.37986041874377,31755,1
11,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.68429869014342,73.26683291770574,91.71225451480277,73.08075772681954,1300959,2
11,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.29671043432562,74.56359102244389,92.4589971806608,75.47357926221336,572235,1
11,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.95701227131993,71.97007481296758,90.74052187148375,73.37986041874377,374907,1
11,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.14919798941295,74.81296758104739,92.34641600316161,75.67298105682951,104667,1
11,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.52665890409199,73.61596009975062,92.26971577746454,72.88135593220339,31755,1
12,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.17508149808134,72.16957605985037,91.81856445969557,73.18045862412762,1300959,2
12,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.47175204355393,74.214463840399,92.43382203844902,74.27716849451646,572235,1
12,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.96270539748235,72.66832917705736,91.4027853089871,72.58225324027916,374907,1
12,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,90.83619804194424,74.11471321695761,92.36922283834345,74.97507477567298,104667,1
12,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.18401354724365,74.06483790523691,91.8429350008087,73.47956131605184,31755,1
13,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.0644347791186,72.81795511221945,91.00596937716867,74.77567298105683,1300959,2
13,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.12406328026081,74.3142144638404,92.30166504085207,75.47357926221336,572235,1
13,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.60215720637251,71.571072319202,90.48906910864618,71.48554336989032,374907,1
13,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,90.84145068330261,74.214463840399,92.1590747429973,75.3738783649053,104667,1
