idx,test_auc,test_acc,val_auc,val_acc,#params
0,92.31961992390599,74.76309226932668,93.0584739150805,75.2741774675972,26919
0,91.86024252843296,74.713216957606,92.74312656363753,76.07178464606181,26937
1,91.47534746301943,74.06483790523691,92.03780251011268,74.8753738783649,26919
1,92.06728251450447,74.46384039900249,93.06915270560525,76.17148554336988,26937
2,91.74165730948319,73.36658354114714,93.10264373489093,75.87238285144566,26919
2,91.84744054933269,75.51122194513715,92.88485360658635,76.07178464606181,26937
3,91.81426292939496,74.51371571072319,92.67460271818504,75.2741774675972,26919
3,92.1863963859222,74.3142144638404,92.5690836047081,74.67597208374876,26937
4,92.62176500138544,74.3640897755611,93.12237290270788,74.0777666999003,26919
4,92.56216269512029,73.96508728179552,92.92840406418811,74.8753738783649,26937
5,91.64924906266724,73.96508728179552,92.34023792578317,75.17447657028913,26919
5,92.03949535251864,74.3640897755611,92.72296533849898,76.17148554336988,26937
6,92.28874959005225,75.36159600997506,92.77800501113299,74.77567298105683,26919
6,91.42508940610654,73.96508728179552,92.50856724614393,75.2741774675972,26937
7,92.47420886753964,75.21197007481297,93.173042571324,74.47657028913261,26919
7,92.01736628785386,74.51371571072319,93.04684675895368,74.27716849451646,26937
8,92.02642368843053,73.96508728179552,92.53471507819258,73.37986041874377,26919
8,92.64642106285382,76.15960099750623,92.72820337741409,75.57328015952145,26937
9,91.7178813504607,73.81546134663341,92.54991043392616,72.88135593220339,26919
9,92.3075836675876,75.31172069825436,93.3563220716997,75.97208374875373,26937
10,92.25656840802738,74.86284289276807,93.40347472702956,76.07178464606181,26919
10,91.53080298507518,72.81795511221945,92.50738442650332,73.77866400797608,26937
11,92.17034336196787,74.06483790523691,92.52496838606145,74.27716849451646,26919
11,92.05161606068123,74.61346633416458,92.9940202341194,76.07178464606181,26937
12,92.139786760018,74.76309226932668,92.65680443449844,75.87238285144566,26919
12,92.34308739124118,75.06234413965088,92.5287916674516,74.0777666999003,26937
13,91.96390757597507,74.86284289276807,92.75433591639872,73.97806580259221,26919
13,91.83604761390256,75.06234413965088,92.99272187339727,76.86939182452642,26937
14,92.31574244159528,75.01246882793018,93.12750381765079,75.87238285144566,26919
14,92.4748220027017,75.41147132169576,93.02658298343658,75.3738783649053,26937
15,91.84660253877723,75.31172069825436,92.75040931713441,74.8753738783649,26919
15,91.89450979280967,74.56359102244389,92.93346697174118,74.27716849451646,26937
16,91.98886565245019,75.16209476309227,93.06415491339084,75.77268195413758,26919
16,92.33353315707032,75.51122194513715,93.3025208408402,75.07477567298105,26937
17,91.83346345246068,74.3640897755611,92.4307861447035,74.67597208374876,26919
17,91.5510195515094,74.76309226932668,92.53130005618203,75.3738783649053,26937
18,92.24198427176408,74.56359102244389,93.13851075461724,74.97507477567298,26919
18,91.67669773129083,73.91521197007481,92.97021365866681,75.47357926221336,26937
19,92.08577199924312,73.46633416458853,92.87103880111891,75.17447657028913,26919
19,92.0916484765488,75.06234413965088,93.18967843893569,75.77268195413758,26937
20,92.07748564008094,74.0149625935162,93.03302088376061,73.77866400797608,26919
20,92.11528568421012,75.56109725685786,92.97156217248205,75.3738783649053,26937
21,91.94029695369828,74.66334164588528,92.65621363661653,74.47657028913261,26919
21,91.71946940940066,74.4139650872818,92.73938640443374,74.57627118644068,26937
22,92.14755898928996,74.91271820448878,92.82111651633303,74.8753738783649,26919
22,91.42217804221502,74.3142144638404,92.6248864694997,73.57926221335993,26937
23,91.811976763064,74.51371571072319,92.5219683480315,74.47657028913261,26919
23,91.96819110241599,75.46134663341645,92.49013217456582,75.07477567298105,26937
24,92.03458492073347,75.41147132169576,92.63853752996513,74.47657028913261,26919
24,92.04852779803213,74.3640897755611,92.87775308777998,73.97806580259221,26937
25,92.2424605839046,74.51371571072319,92.83523189315503,74.0777666999003,26919
25,92.13423845289873,75.26184538653366,92.75524275217961,75.17447657028913,26937
26,92.06717294065123,74.2643391521197,92.54055995239348,75.17447657028913,26919
26,92.18685332433498,75.21197007481297,92.84537297330012,76.47058823529412,26937
27,92.39063495909396,75.16209476309227,92.78521565547392,73.97806580259221,26919
27,92.43654206188948,75.31172069825436,93.1360954783655,75.47357926221336,26937
28,91.91157446639414,74.214463840399,92.73954844316509,74.0777666999003,26919
28,91.91919115212285,75.06234413965088,92.99943524462658,75.17447657028913,26937
29,92.06195205784547,74.51371571072319,92.50419208895525,76.17148554336988,26919
29,92.2950124950014,74.56359102244389,92.90936975640953,74.57627118644068,26937
30,91.87898660111736,74.1645885286783,93.06423393869571,75.57328015952145,26919
30,92.51183214188995,74.4139650872818,92.74656137237413,76.47058823529412,26937
31,91.98512207664669,73.91521197007481,92.60702821012717,74.57627118644068,26919
31,91.98932537858921,74.76309226932668,93.16468162673941,75.2741774675972,26937
32,91.82138325050968,74.66334164588528,92.72510436503855,74.47657028913261,26919
32,91.59948758509454,73.56608478802993,92.46713412322057,74.0777666999003,26937
33,91.82305034779225,74.3640897755611,92.71635211421312,75.87238285144566,26919
