idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,entangle,penny_or_kipu,RD,convolutional,paralel,quantum_data,q_stride,connectivity,test_auc,test_acc,val_auc,val_acc,#params
23,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.22980182497375,75.66084788029926,93.25610370332562,75.47357926221336,46495
24,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.1629821669506,74.4139650872818,93.31182384675441,75.3738783649053,46495
25,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.12904469232753,75.41147132169576,92.75485589587643,75.47357926221336,46495
26,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.23896030253617,75.11221945137157,92.7268112862629,75.2741774675972,46495
27,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.230655848537,75.11221945137157,93.1913501652673,75.3738783649053,46495
28,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.55584602421608,73.86533665835412,93.37823613493072,75.77268195413758,46495
29,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.47580864407169,74.06483790523691,92.99353123868805,76.17148554336988,46495
30,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.32047836071426,74.1645885286783,93.22762319586187,75.97208374875373,46495
31,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.28231969478395,75.61097256857855,93.13007447915821,75.77268195413758,46495
32,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.11793964099265,75.16209476309227,92.82991002287096,75.2741774675972,46495
33,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.17289698795243,75.36159600997506,92.45602860384696,73.87836490528414,46495
34,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.6235103728246,75.76059850374065,92.85969799157652,75.77268195413758,46495
35,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.53542173087868,75.71072319201994,93.21084594909507,76.07178464606181,46495
36,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.46497256138753,74.96259351620948,92.96138529182521,75.3738783649053,46495
37,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.5525095708912,75.26184538653366,92.6714958376825,74.97507477567298,46495
