idx,test_auc,test_acc,val_auc,val_acc,#params
0,91.76242669657651,75.01246882793018,92.9496638808624,75.47357926221336,26919
1,92.1884475242623,75.41147132169576,92.84054892407535,75.67298105682951,26919
2,91.95304801991391,74.214463840399,93.01345391038403,74.47657028913261,26919
3,91.89558355021558,74.76309226932668,92.83857756907123,75.17447657028913,26919
4,91.9765623486151,73.81546134663341,92.45094779039498,74.67597208374876,26919
5,91.89918973515294,75.21197007481297,92.34414795147642,74.8753738783649,26919
6,92.06173664533283,75.31172069825436,92.55415648973913,76.07178464606181,26919
7,92.317948806065,75.76059850374065,92.9947227927439,74.67597208374876,26919
8,92.07120304975184,74.3640897755611,92.9553807163152,73.97806580259221,26919
9,91.80837189149956,74.11471321695761,92.9007447678633,75.67298105682951,26919
10,92.06860480465059,75.06234413965088,92.74234748794935,75.17447657028913,26919
11,92.07597493826447,75.41147132169576,92.64987673094525,75.57328015952145,26919
12,92.43022460507395,75.76059850374065,92.69099545939311,76.37088733798603,26919
13,92.11884932086122,74.56359102244389,93.09024147394403,76.37088733798603,26919
14,91.85100180362983,76.00997506234414,92.77202352886222,76.47058823529412,26919
15,92.13672587452848,75.01246882793018,93.02886042846748,75.67298105682951,26919
16,92.4023487645409,74.76309226932668,92.75118869326606,75.07477567298105,26919
17,92.15466291760069,75.06234413965088,92.80541628536092,75.3738783649053,26919
18,91.44431281120082,73.31670822942642,92.34063363947111,74.67597208374876,26919
19,92.05623242610498,75.16209476309227,92.85906048929643,74.8753738783649,26919
20,92.25159329786014,75.16209476309227,93.05604939410902,76.5702891326022,26919
21,91.62643565045806,74.1645885286783,92.76135922793418,76.17148554336988,26919
22,92.30825779588893,75.36159600997506,92.70411621720314,75.3738783649053,26919
23,92.15116945941625,75.46134663341645,92.74844704116772,75.77268195413758,26919
24,91.84091533571325,74.3640897755611,92.62121058275567,75.87238285144566,26919
25,92.21096374126718,76.25935162094764,92.88339760385271,76.17148554336988,26919
26,91.95949632933281,75.46134663341645,92.86688676612317,75.57328015952145,26919
27,92.22989645183182,75.36159600997506,93.36980473299525,76.47058823529412,26919
28,92.64386832499376,76.70822942643392,92.8574044632198,77.06879361914257,26919
29,92.05371189340299,74.3640897755611,92.65083586477553,74.77567298105683,26919
30,92.07782379541165,75.71072319201994,92.74683352534178,74.97507477567298,26919
31,91.33109209629265,72.21945137157107,92.66826249227309,75.17447657028913,26919
32,92.07650645146776,75.51122194513715,92.74529061791196,74.8753738783649,26919
33,92.1179471435214,75.21197007481297,93.20189044620514,75.87238285144566,26919
34,92.07386119333026,74.96259351620948,92.92141851261444,74.8753738783649,26919
35,92.06713689523579,75.11221945137157,92.78864341293527,77.3678963110668,26919
36,92.06258516453504,74.76309226932668,92.83056187679988,76.17148554336988,26919
37,91.94919183632003,74.86284289276807,92.56039447061546,74.17746759720838,26919
38,91.9214804532148,74.86284289276807,92.79091426845636,74.8753738783649,26919
39,92.25670948472539,73.71571072319202,92.43544516999034,74.77567298105683,26919
40,91.82011585076366,75.31172069825436,92.77275689914288,75.2741774675972,26919
41,91.88518018984301,74.06483790523691,93.27613631549453,75.2741774675972,26919
42,92.10398993460497,73.81546134663341,92.68444283201785,73.77866400797608,26919
43,91.7020135198827,73.96508728179552,92.79409707040962,76.66999002991027,26919
44,92.20757928777573,74.06483790523691,92.82906852928289,75.47357926221336,26919
45,91.63540016347505,74.81296758104739,92.66900566546718,74.77567298105683,26919
46,92.29624947043807,75.21197007481297,93.14182237174488,76.07178464606181,26919
47,91.94749389606102,74.96259351620948,92.64245416434123,76.17148554336988,26919
48,91.98491735874298,75.66084788029926,92.35820539841959,75.07477567298105,26919
49,91.82263962056031,74.11471321695761,92.61441118499435,74.67597208374876,26919
