idx,test_auc,test_acc,val_auc,val_acc,#params
0,91.87219143853541,73.81546134663341,92.81566711758003,74.37686939182453,26925
1,92.6999285261879,76.15960099750623,93.06891121988862,75.47357926221336,26925
2,92.22063227997879,75.46134663341645,93.15264094902341,77.06879361914257,26925
3,91.47900266155284,73.26683291770574,92.89291756109257,75.17447657028913,26925
4,91.93354556942779,74.76309226932668,92.98921159992612,75.07477567298105,26925
5,91.94337838701692,75.61097256857855,92.59550255259862,75.2741774675972,26925
6,91.71440638011552,74.0149625935162,92.67993062982897,75.77268195413758,26925
7,91.98153361274964,75.61097256857855,93.05533522137367,75.77268195413758,26925
8,91.77705414569246,73.71571072319202,92.86657035619315,74.57627118644068,26925
9,91.96358525662022,74.2643391521197,92.57505559304457,74.8753738783649,26925
10,92.09651872619183,74.86284289276807,92.78016785964888,74.97507477567298,26925
11,92.10455608416873,75.26184538653366,93.00651994089003,75.47357926221336,26925
12,91.95426937066343,75.31172069825436,92.84919290900808,74.27716849451646,26925
13,92.00871596809483,75.66084788029926,92.90741421629363,75.17447657028913,26925
14,92.23885016691591,75.66084788029926,92.83710226199314,75.17447657028913,26925
15,91.71718936288575,75.01246882793018,92.72322478678599,73.57926221335993,26925
16,92.171655456001,74.46384039900249,92.99385716210276,75.77268195413758,26925
17,91.99131762922275,76.05985037406484,92.8341513353976,75.57328015952145,26925
18,92.13818527291508,75.51122194513715,93.09504187901959,75.07477567298105,26925
19,92.22631738710476,76.25935162094764,92.82921379142748,75.17447657028913,26925
20,91.62073246966659,74.0149625935162,92.61100038243664,75.2741774675972,26925
21,91.67768313303031,73.81546134663341,92.75599534860145,74.67597208374876,26925
22,92.06042844228877,75.36159600997506,92.83302991247866,75.57328015952145,26925
23,91.70872710635007,74.66334164588528,92.34716960206146,74.77567298105683,26925
24,91.9189338756789,74.86284289276807,92.845487999479,74.8753738783649,26925
25,91.89197989232618,75.06234413965088,92.80796505220492,75.17447657028913,26925
26,92.31756206132957,75.86034912718205,92.81185578470026,76.37088733798603,26925
27,92.09169783402385,75.76059850374065,92.68165153703846,74.8753738783649,26925
28,91.74900969010355,74.86284289276807,92.67627441963161,76.17148554336988,26925
29,92.08770816759981,75.66084788029926,93.019913236332,75.07477567298105,26925
30,91.77813988722235,74.76309226932668,92.43170997645025,73.87836490528414,26925
31,91.55513218041376,74.76309226932668,92.65795966744551,75.07477567298105,26925
32,91.91681052909972,75.21197007481297,92.34972739918935,75.47357926221336,26925
33,91.91760016650831,74.66334164588528,92.70447760028411,75.67298105682951,26925
34,92.47970126883597,75.86034912718205,93.08534827585349,75.07477567298105,26925
35,91.79249683421243,74.2643391521197,92.44537068185834,75.17447657028913,26925
36,92.30041421705104,74.91271820448878,92.63041126729647,75.77268195413758,26925
37,91.73893525363799,74.214463840399,93.03036387103468,76.27118644067797,26925
38,91.7420344143188,74.2643391521197,92.89354274797157,75.87238285144566,26925
39,92.25919018996551,74.96259351620948,92.85565042534391,75.2741774675972,26925
40,92.23090094406025,75.71072319201994,92.89182195509989,76.17148554336988,26925
41,92.02249543389115,74.66334164588528,92.98809529924903,74.8753738783649,26925
42,91.94418014869518,74.0149625935162,92.44502184601282,73.77866400797608,26925
43,92.1060634681542,74.713216957606,92.71021692386674,74.17746759720838,26925
44,91.93981192558012,74.86284289276807,92.87080743516128,74.67597208374876,26925
45,92.38230036857414,76.05985037406484,92.92996576666853,76.37088733798603,26925
46,91.53779340818878,74.214463840399,92.74711177079347,76.86939182452642,26925
47,91.88355817403647,74.86284289276807,92.4759332416913,74.57627118644068,26925
48,91.97694860922923,74.76309226932668,92.68809193304543,76.27118644067797,26925
49,92.08848330228919,73.71571072319202,92.77494463015437,74.27716849451646,26925
