idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,test_auc,test_acc,val_auc,val_acc
42,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.8650220549646,75.11221945137157,92.50482833755046,74.57627118644068
43,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.35354700866274,72.96758104738154,92.23676416348196,74.8753738783649
44,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.77671133415592,75.06234413965088,92.40181409381316,74.67597208374876
45,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.46471594103579,75.86034912718205,92.7156157233621,75.67298105682951
46,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.2799654090908,74.3640897755611,92.73682049121462,75.3738783649053
47,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.94023312682626,75.41147132169576,92.61528619326913,75.57328015952145
48,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.24466527728181,74.66334164588528,93.16096594535686,75.47357926221336
49,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.67187882369612,74.96259351620948,92.4421306750185,75.47357926221336
50,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.39385640729107,73.96508728179552,92.14404139296893,74.17746759720838
51,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.82335391227,73.91521197007481,93.16532166566519,73.97806580259221
52,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.08891382714167,74.4139650872818,92.4574576348135,75.57328015952145
53,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.79062954291746,73.66583541147132,92.70919075357546,73.97806580259221
54,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.99594125021864,73.86533665835412,92.76133483948404,75.17447657028913
55,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.94071104004394,75.06234413965088,92.47586173299602,76.17148554336988
