idx,dropout,lr,quantum_data,test_auc,test_acc,val_auc,val_acc,#params,RD
4,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,88.30567176121275,69.52618453865337,89.53129808079939,66.40079760717846,1028787,1
4,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.00934948858492,74.06483790523691,92.32701311294356,71.08673978065802,284403,1
4,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.14599000248934,74.51371571072319,92.43795610771002,73.97806580259221,85011,1
4,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,92.09048973663762,74.56359102244389,93.25685800627909,75.87238285144566,85011,1
5,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.07728462149554,72.51870324189527,91.88348988396032,73.57926221335993,2510523,2
5,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.57481952976347,75.26184538653366,92.09936602623291,74.67597208374876,1573779,1
5,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,86.81025374587111,66.88279301745635,89.2455936201447,65.10468594217348,1028787,1
5,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.48279093193491,75.21197007481297,92.24028284311048,71.88434695912264,284403,1
5,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,90.70522991741055,72.66832917705736,91.14835449411267,70.48853439680957,85011,1
5,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,92.44892603925335,74.61346633416458,93.08887929126975,74.67597208374876,85011,1
6,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.70670245377471,72.51870324189527,91.017685132007,72.98105682951147,2510523,2
6,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.64925940310127,74.81296758104739,92.1193635925301,73.18045862412762,1573779,1
6,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,88.2144571368732,68.7780548628429,89.5052964651364,60.418743768693915,1028787,1
6,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,90.58038885080941,70.62344139650872,92.58737744702145,72.58225324027916,284403,1
6,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.6581990397443,73.46633416458853,92.73032371125173,73.97806580259221,85011,1
6,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,91.97981516251238,74.61346633416458,92.61267164820423,74.77567298105683,85011,1
7,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.0841336297537,72.91770573566085,91.78222330003604,74.77567298105683,2510523,2
7,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.10795962218695,74.1645885286783,92.45704323380929,73.47956131605184,1573779,1
7,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,87.64175491305191,65.93516209476309,89.49868699734384,64.90528414755732,1028787,1
7,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,90.86005391708755,73.76558603491273,92.83571497653021,73.87836490528414,284403,1
7,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.06597792796903,74.11471321695761,92.19265340171154,73.678963110668,85011,1
7,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,92.13619383569892,75.11221945137157,92.72959617735135,75.17447657028913,85011,1
8,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.96027252072778,73.11720698254364,91.76356062882277,74.27716849451646,2510523,2
8,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.94496595411402,73.16708229426435,92.78952550106095,72.58225324027916,1573779,1
8,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,86.95180550564355,66.78304239401496,88.06229382763802,61.814556331006976,1028787,1
8,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,90.83715800362316,74.46384039900249,92.47217341021738,73.47956131605184,284403,1
8,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.22395178085908,74.61346633416458,92.45359486854277,74.17746759720838,85011,1
8,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,91.97513133687788,75.11221945137157,92.95012241567605,75.47357926221336,85011,1
9,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.39522069754321,73.96508728179552,92.0937092628905,73.37986041874377,2510523,2
9,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.48847071060722,73.21695760598503,92.48717510270461,72.38285144566301,1573779,1
9,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,87.49087660095621,67.88029925187033,89.51058642524949,63.609172482552346,1028787,1
9,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.11178507941736,74.214463840399,91.62683202154604,73.08075772681954,284403,1
9,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.195962037117,73.16708229426435,92.44504454347998,71.5852442671984,85011,1
9,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,91.98045805975322,75.61097256857855,92.8785937112152,75.2741774675972,85011,1
10,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.29895937122487,74.2643391521197,92.3114921107043,73.18045862412762,2510523,2
10,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.23625179854349,73.56608478802993,92.5957930365079,73.47956131605184,1573779,1
10,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,89.00198446372816,70.72319201995012,89.94946873075052,67.59720837487538,1028787,1
10,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,90.97965404134214,75.21197007481297,91.6766211867978,72.58225324027916,284403,1
10,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.51820106328483,74.81296758104739,92.22135295131127,74.17746759720838,85011,1
10,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,91.82216012314208,75.26184538653366,92.60714577595573,74.17746759720838,85011,1
11,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.42299464108164,74.06483790523691,92.28704139067753,73.77866400797608,2510523,2
11,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.64834362688133,74.3142144638404,92.87959585466314,74.0777666999003,1573779,1
11,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,88.14743956220357,67.28179551122194,89.34161977047609,65.30408773678963,1028787,1
11,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.41241602120215,75.01246882793018,92.0623212646115,70.98703888334995,284403,1
11,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.53462496309041,74.66334164588528,92.05316950820676,72.08374875373879,85011,1
