idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,RD,convolutional,paralel,test_auc,test_acc,val_auc,val_acc
23,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.13370540542591,74.51371571072319,93.06434396759323,75.2741774675972
24,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.11232024107746,74.46384039900249,92.62667052871191,76.07178464606181
25,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.26343189971186,74.96259351620948,93.23494501344679,75.2741774675972
26,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.1776212152156,74.56359102244389,93.01721602316148,75.77268195413758
27,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.16574836719127,75.11221945137157,93.36273968459447,75.47357926221336
28,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.39809116610222,73.86533665835412,93.19428829877795,75.2741774675972
29,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.1448200601587,74.3640897755611,93.17265553141777,76.5702891326022
30,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.2246278644873,72.86783042394015,92.977696651624,75.47357926221336
31,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.25941165910318,74.51371571072319,93.2582418304251,74.97507477567298
32,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.06958977095454,75.11221945137157,92.9232351791874,75.17447657028913
33,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.0350968817896,73.01745635910224,92.77630575327882,76.76969092721835
34,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.35665545132382,75.16209476309227,93.06239001525228,74.77567298105683
35,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.39584400363634,74.81296758104739,93.15874820657017,74.97507477567298
36,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.3837596377364,75.21197007481297,93.21761101740034,75.67298105682951
37,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.08897310542822,74.2643391521197,93.19433380876326,75.77268195413758
38,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.37606384185811,74.4139650872818,93.02435966933893,74.57627118644068
39,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.34520411148328,74.86284289276807,93.32314676016722,75.17447657028913
40,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,1,True,2,92.27945442563599,74.1645885286783,92.60238542218191,74.8753738783649
