idx,test_auc,test_acc,val_auc,val_acc,#params, lr, patch_size, dropout, num_head, num_transf, RBF_similarity, mlp_size, weight_decay, attention_selection, entangle, RD, paralel, patience, connectivity, scheduler_factor, q_stride, quantum_data, quantum_mlp, quantum_classification, train_q
20,91.61629637697114,73.86533665835412,92.41978534449379,73.77866400797608,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
21,91.37120946323931,73.81546134663341,92.51984065751716,75.47357926221336,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
22,91.85720794132017,74.91271820448878,92.86116374286499,75.17447657028913,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
23,92.00715239068823,74.713216957606,92.61414413170598,75.3738783649053,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
24,91.95852765513423,74.51371571072319,92.79553674758526,74.47657028913261,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
25,91.43744734253474,74.06483790523691,92.40698122310566,74.47657028913261,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
26,91.9166713969546,74.56359102244389,92.47800571076034,73.87836490528414,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
27,91.91339727892915,74.1645885286783,92.36257069464939,74.37686939182453,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
28,91.48953801115017,74.2643391521197,92.45252228487468,74.67597208374876,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
29,91.30383548870809,75.06234413965088,92.28075843022626,73.97806580259221,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
