idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,entangle,penny_or_kipu,RD,convolutional,paralel,quantum_data,q_stride,connectivity,test_auc,test_acc,val_auc,val_acc,#params
23,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.64073676282537,74.96259351620948,93.21496083526618,74.17746759720838,53623
24,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.48826388017089,75.56109725685786,93.5437242020314,76.76969092721835,53623
25,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.5002690855751,74.66334164588528,92.89489645683534,75.67298105682951,53623
26,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.8565548348932,74.91271820448878,92.82161121727384,73.678963110668,53623
27,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.6750168691823,75.96009975062344,93.16345913410345,76.17148554336988,53623
28,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.75152526454549,76.15960099750623,93.13700534609511,74.67597208374876,53623
29,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.42051588511177,75.31172069825436,93.16440387975119,76.17148554336988,53623
30,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.23513647104514,75.71072319201994,92.82877859847801,74.37686939182453,53623
31,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.46598232530035,73.81546134663341,93.09814565405567,74.27716849451646,53623
32,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.64144349159577,74.96259351620948,93.3069580209602,76.5702891326022,53623
33,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.47392890297279,74.81296758104739,93.11696194188136,76.27118644067797,53623
34,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.2504280182236,76.05985037406484,93.23478207678083,75.87238285144566,53623
35,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.31879205053387,76.10972568578553,93.31189983661433,76.66999002991027,53623
36,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.4032829221451,75.26184538653366,93.07624919336192,75.67298105682951,53623
37,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.45742073330581,73.91521197007481,93.4095998112688,76.17148554336988,53623
38,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.2078833190881,75.26184538653366,93.15224762488971,75.77268195413758,53623
39,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.37010776855007,73.46633416458853,92.99191655567569,76.5702891326022,53623
40,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.72818381559561,75.71072319201994,93.03079949303051,75.57328015952145,53623
41,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.72397088944204,75.46134663341645,93.26878296911845,75.77268195413758,53623
42,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.23582222832523,73.86533665835412,92.74455473279428,75.2741774675972,53623
43,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.15322929162485,75.36159600997506,92.91259132967886,75.47357926221336,53623
44,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.37661619900749,74.4139650872818,93.36847374607166,75.67298105682951,53623
45,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.8139304979175,74.66334164588528,92.93978037398173,76.17148554336988,53623
46,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.61490439959886,74.46384039900249,93.10915822486074,75.67298105682951,53623
47,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.39958744517234,75.56109725685786,93.17224298061264,76.76969092721835,53623
48,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.56387549508169,74.46384039900249,93.07962693830484,76.17148554336988,53623
49,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,penny,1,True,2,False,2,david_star,92.28279786007008,75.06234413965088,92.81671641748785,74.8753738783649,53623
