idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,test_auc,test_acc,val_auc,val_acc
41,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.96176828819772,73.96508728179552,92.31894347905124,76.07178464606181
42,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,92.16012965371877,76.30922693266832,92.72896183810255,75.97208374875373
43,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.47330693793671,75.06234413965088,92.46212603683948,74.97507477567298
44,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.94090944661497,74.81296758104739,93.10135243480255,73.97806580259221
45,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.28120709753597,74.81296758104739,92.5747121770309,76.37088733798603
46,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.5420794864544,74.66334164588528,92.58392141581398,75.67298105682951
47,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.11761954433273,73.21695760598503,92.69899581139315,76.07178464606181
48,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.6247419228147,74.61346633416458,92.16816532307936,75.67298105682951
49,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.7755487504051,75.16209476309227,92.4894911183996,74.77567298105683
50,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.32736160718254,74.2643391521197,93.09314026656273,76.17148554336988
51,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.57676026541905,74.06483790523691,92.85710968704963,74.97507477567298
52,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.79099658716649,74.56359102244389,93.09939814548815,77.66699900299102
53,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.5212062559865,74.11471321695761,92.4517458284863,74.67597208374876
54,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,90.97861801245976,74.214463840399,92.03126895649105,74.37686939182453
55,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.50011697159373,74.61346633416458,92.46867413537716,75.2741774675972
56,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.77509705670695,74.76309226932668,92.48364383884503,74.67597208374876
57,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.4549101103101,73.61596009975062,92.78915870948684,75.47357926221336
58,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.4964766090991,74.4139650872818,92.88956112407273,75.47357926221336
