idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,entangle,penny_or_kipu,RD,convolutional,paralel,quantum_data,q_stride,connectivity,test_auc,test_acc,val_auc,val_acc,#params
23,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.46302436030895,74.91271820448878,93.04800704028186,76.37088733798603,26887
24,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.15963582570808,74.91271820448878,92.8276893495877,75.57328015952145,26887
25,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.14670184046497,74.4139650872818,93.12193968980066,74.97507477567298,26887
26,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.38446087845149,75.51122194513715,93.35735868309276,75.07477567298105,26887
27,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.0722424533572,75.16209476309227,93.00603661408104,76.66999002991027,26887
28,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,91.97354633578091,74.46384039900249,92.80333537479034,74.37686939182453,26887
29,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.53183093457659,74.3640897755611,92.82488207902749,73.08075772681954,26887
30,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.68541718290508,75.41147132169576,93.24949379368645,76.47058823529412,26887
31,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.58294562372483,75.81047381546135,92.88813339455915,75.17447657028913,26887
32,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.00463942723067,73.56608478802993,93.117766823692,76.27118644067797,26887
33,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.5103404300812,74.96259351620948,92.91686277950706,74.0777666999003,26887
34,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.24686133646577,74.86284289276807,92.89767872308816,73.77866400797608,26887
35,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.43286834949058,76.00997506234414,92.85743874910004,75.17447657028913,26887
36,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.39340321275934,75.26184538653366,93.45427972036238,75.87238285144566,26887
37,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.01880280840744,74.4139650872818,93.06960608666328,73.57926221335993,26887
38,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.16289375837306,74.51371571072319,93.00310011601368,74.97507477567298,26887
39,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.3280921099049,74.713216957606,92.89573414811471,75.77268195413758,26887
40,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,91.73962064134199,73.91521197007481,92.27769285961375,73.87836490528414,26887
41,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,91.96844592628308,75.56109725685786,93.12730701269054,75.3738783649053,26887
42,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.60886106028246,75.81047381546135,92.81206845636927,74.67597208374876,26887
43,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,91.59318827199439,73.36658354114714,92.90116259917873,74.57627118644068,26887
44,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,91.66364721680571,73.66583541147132,92.46124885528656,74.17746759720838,26887
45,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,91.94536701427597,73.51620947630923,92.58700983475646,75.3738783649053,26887
46,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.53909384122386,75.66084788029926,93.32171167628981,76.5702891326022,26887
47,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.256138204976,74.713216957606,93.43593590075224,76.17148554336988,26887
48,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.08059527554512,75.06234413965088,93.11264257264362,74.77567298105683,26887
49,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,False,kipu,1,True,1,False,1,chain,92.00202693276661,74.3142144638404,92.82492038742112,74.57627118644068,26887
