idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,t,RD,paralel,test_auc,test_acc,val_auc,val_acc
0,0.0025,48,"{'embedding_attn': 0.5, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.325}",4,4,4,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,4,92.44469774880902,74.46384039900249,74.214463840399,92.6294137126634
1,0.0025,48,"{'embedding_attn': 0.5, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.325}",4,4,4,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,4,92.19621600424038,74.76309226932668,74.51371571072319,92.58607611586035
2,0.0025,48,"{'embedding_attn': 0.5, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.325}",4,4,4,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,4,92.38109233465988,74.214463840399,74.76309226932668,92.88188118490216
3,0.0025,48,"{'embedding_attn': 0.5, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.325}",4,4,4,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,4,92.38065043750987,72.36907730673316,74.3142144638404,92.89747351768249
4,0.0025,48,"{'embedding_attn': 0.5, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.325}",4,4,4,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,4,92.37041847213018,73.86533665835412,73.36658354114714,92.731190151678
5,0.0025,48,"{'embedding_attn': 0.5, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.325}",4,4,4,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,4,92.23769685259352,74.76309226932668,74.214463840399,93.35088553264329
6,0.0025,48,"{'embedding_attn': 0.5, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.325}",4,4,4,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,4,92.67848121348977,74.4139650872818,74.0149625935162,92.94447073163818
7,0.0025,48,"{'embedding_attn': 0.5, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.325}",4,4,4,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,4,92.49658509429466,74.81296758104739,75.36159600997506,92.98894614142729
8,0.0025,48,"{'embedding_attn': 0.5, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.325}",4,4,4,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,4,92.01418017386106,74.56359102244389,74.56359102244389,92.65411828592008
9,0.0025,48,"{'embedding_attn': 0.5, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.325}",4,4,4,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,4,91.72535790872155,71.7206982543641,72.81795511221945,92.73181620066607
