idx,test_auc,test_acc,val_auc,val_acc,#params
0,91.93639908416736,74.96259351620948,92.84706290352716,74.8753738783649,26937
1,91.8948222579394,74.81296758104739,92.24237797804385,74.8753738783649,26937
2,91.81057429694877,75.06234413965088,92.8185341898101,75.97208374875373,26937
3,92.26594850932902,75.66084788029926,92.84912736961061,74.77567298105683,26937
4,91.84685541775467,75.16209476309227,92.41575993091377,74.97507477567298,26937
5,92.15882547829123,75.06234413965088,93.18163028149691,75.2741774675972,26937
6,92.1087506186265,76.00997506234414,92.83641734660023,76.9690927218345,26937
7,92.04840442124603,75.41147132169576,92.61730097016606,75.2741774675972,26937
8,92.27242426870558,75.51122194513715,92.83195403164024,74.67597208374876,26937
9,92.2304454822755,75.26184538653366,92.41270207920938,74.17746759720838,26937
10,92.1926192473923,75.06234413965088,93.37583576568862,75.3738783649053,26937
11,92.08332529593439,75.86034912718205,92.57971755551428,75.3738783649053,26937
12,92.2222378470427,75.51122194513715,93.24368265319146,76.66999002991027,26937
13,92.70389440009858,75.66084788029926,92.75491312667164,74.97507477567298,26937
14,91.74664374026825,74.713216957606,92.80329847401569,76.9690927218345,26937
15,92.03966700618459,75.26184538653366,92.83298036663753,74.0777666999003,26937
16,91.62559457149767,74.2643391521197,92.50737371125307,75.77268195413758,26937
17,92.2106469822938,74.81296758104739,92.9302141720374,75.2741774675972,26937
18,91.93491886382603,75.06234413965088,92.72982555902884,75.3738783649053,26937
19,92.24580267381015,75.71072319201994,92.54362055869329,75.97208374875373,26937
20,92.27639493052034,75.91022443890274,92.78094988660166,75.47357926221336,26937
21,91.92386236875451,75.26184538653366,92.85831601564765,75.07477567298105,26937
22,92.05279974081675,75.11221945137157,92.84709318885064,74.8753738783649,26937
23,91.83247708866739,73.66583541147132,92.16222668139629,74.37686939182453,26937
24,91.73413710854413,73.81546134663341,92.66014414213838,74.8753738783649,26937
25,92.79648448735507,76.75810473815461,92.90953354212968,76.27118644067797,26937
26,92.05046364626503,75.31172069825436,92.9326742978322,76.47058823529412,26937
27,91.89520899293665,75.71072319201994,92.47987760623325,75.2741774675972,26937
28,92.12181536711,75.56109725685786,92.57989626618836,74.67597208374876,26937
29,91.99486446678034,74.91271820448878,92.72688349466365,74.0777666999003,26937
30,91.97636110121297,75.06234413965088,92.66718557879166,74.67597208374876,26937
31,92.38758082485911,75.36159600997506,92.82208215264866,75.87238285144566,26937
32,92.22165280436354,75.66084788029926,92.74062593050594,74.97507477567298,26937
33,91.85053742371609,75.66084788029926,92.75178306930869,76.27118644067797,26937
34,92.08909669023613,76.10972568578553,92.63937686305242,74.37686939182453,26937
35,92.1808369198321,74.56359102244389,92.55163801397738,74.77567298105683,26937
36,92.11193588089708,75.11221945137157,92.96540839937313,76.17148554336988,26937
37,91.98971599115467,74.81296758104739,92.94278915020926,75.67298105682951,26937
38,91.93350079135664,75.41147132169576,92.34866154735765,74.57627118644068,26937
39,91.92060503295707,76.10972568578553,92.81778987641195,75.17447657028913,26937
40,91.7821985804137,73.86533665835412,92.63974921033686,74.77567298105683,26937
41,91.35466540582084,74.06483790523691,92.59579238603466,74.47657028913261,26937
42,92.40499858350404,75.61097256857855,93.03110729995204,75.3738783649053,26937
43,91.45641271596084,74.3142144638404,92.63113868902343,74.0777666999003,26937
44,92.26065779676973,74.56359102244389,92.69282933802083,76.47058823529412,26937
45,92.22832838959131,74.81296758104739,92.77562677586333,76.5702891326022,26937
46,91.45573433344049,74.4139650872818,92.32272751089037,74.27716849451646,26937
47,92.26037856671844,74.91271820448878,92.75624487312933,74.8753738783649,26937
48,92.05458341343912,75.21197007481297,92.62565415337434,75.07477567298105,26937
49,92.01334091513147,75.01246882793018,92.8915980227725,77.16849451645065,26937
