idx,quantum_mlp,mlp_size,test_auc,test_acc,val_auc,val_acc,#params
0,True,3,91.7906460014506,75.06234413965088,92.4309528721589,76.07178464606181,26943
0,False,3,91.8058379558264,75.51122194513715,93.0348881815208,76.37088733798603,26943
0,True,4,92.33500142874799,75.26184538653366,92.76377642612695,75.67298105682951,27731
0,False,4,92.1249099834614,75.26184538653366,92.82769350784811,74.37686939182453,27735
0,True,5,92.07513648524824,75.06234413965088,92.62439485114845,76.76969092721835,28521
0,False,5,92.36055603738727,75.86034912718205,93.13146461629553,76.17148554336988,28531
0,True,3,92.18088613400009,74.2643391521197,92.7047508756271,75.17447657028913,26943
0,False,3,92.4570401092898,75.91022443890274,92.96009703612533,76.37088733798603,26943
0,True,4,91.89724594960971,75.06234413965088,92.87425967486588,75.97208374875373,27727
0,False,4,92.10717657737322,75.21197007481297,92.58145978679657,74.57627118644068,27735
0,True,5,92.16437021851644,74.86284289276807,93.22507544040063,76.27118644067797,28511
0,False,5,92.4999665141078,75.26184538653366,92.9681559051902,74.97507477567298,28531
0,True,3,92.1095538392562,75.01246882793018,93.1513543689953,75.87238285144566,26943
0,False,3,92.15108523749643,75.81047381546135,92.92205489187516,74.47657028913261,26943
0,True,4,92.11481645957863,75.41147132169576,93.09059220384016,76.5702891326022,27727
0,False,4,92.06327752808448,74.76309226932668,92.81634917194465,74.77567298105683,27735
0,True,5,91.86381636351842,74.713216957606,93.02766209236168,76.37088733798603,28511
0,False,5,91.89203899086867,75.71072319201994,93.055593824039,76.07178464606181,28531
1,True,3,91.86162167896691,74.713216957606,92.70071719104833,75.47357926221336,26943
1,False,3,91.38355175225452,74.61346633416458,92.61365933842085,74.47657028913261,26943
1,True,4,91.9941797087998,75.26184538653366,92.8276372957711,75.2741774675972,27727
1,False,4,92.09042600552958,75.86034912718205,92.74195298276456,75.57328015952145,27735
1,True,5,92.0881561557536,75.11221945137157,92.73206979294183,75.17447657028913,28511
1,False,5,92.18235436511675,75.31172069825436,92.86263174027816,75.77268195413758,28531
2,True,3,91.99999861189977,74.11471321695761,92.80908808184965,76.27118644067797,26943
2,False,3,92.0872901819422,75.31172069825436,92.99072980246196,74.8753738783649,26943
2,True,4,92.05843675574721,76.20947630922693,93.13938699265051,75.2741774675972,27727
2,False,4,92.30968251679909,75.61097256857855,92.976966190787,76.17148554336988,27735
2,True,5,91.84401119735031,74.76309226932668,92.38503273416421,74.47657028913261,28511
2,False,5,92.35448188912426,74.66334164588528,92.77717419454673,74.57627118644068,28531
3,True,3,92.12850946658475,75.41147132169576,92.98397425878113,74.37686939182453,26943
3,False,3,91.93520224649832,75.66084788029926,92.9314831785342,76.07178464606181,26943
3,True,4,92.01250042577563,75.56109725685786,92.88654795940745,74.77567298105683,27727
3,False,4,92.18194698277927,74.96259351620948,93.07437039993538,75.2741774675972,27735
3,True,5,92.45703118712176,74.3640897755611,92.7856128972209,75.47357926221336,28511
3,False,5,92.14275165179423,75.61097256857855,92.83623567669979,75.57328015952145,28531
4,True,3,92.1553985354129,75.56109725685786,92.79700687075224,76.37088733798603,26943
4,False,3,91.6066682940205,74.56359102244389,92.56384237930045,75.3738783649053,26943
4,True,4,92.16287292159356,74.91271820448878,92.74845011775051,74.47657028913261,27727
4,False,4,91.90410398480105,75.51122194513715,92.58549082407629,75.87238285144566,27735
4,True,5,92.13393426264132,74.713216957606,92.65308313139077,74.97507477567298,28511
4,False,5,92.30609654285455,75.66084788029926,92.93577903306743,74.47657028913261,28531
5,True,3,91.66655208905865,75.11221945137157,92.52877441988629,75.3738783649053,26943
5,False,3,91.83185397764207,74.713216957606,92.51676022025607,75.87238285144566,26943
5,True,4,92.09868313655066,74.91271820448878,92.56606387908082,74.8753738783649,27727
5,False,4,92.66379036520586,75.86034912718205,93.15717803555276,75.47357926221336,27735
5,True,5,91.6777526494826,75.16209476309227,92.83862430055592,75.3738783649053,28511
5,False,5,91.69735402043612,75.16209476309227,92.65611460525712,74.67597208374876,28531
6,True,3,92.13343143532231,75.46134663341645,92.83119701240147,75.07477567298105,26943
6,False,3,92.28993964110488,75.06234413965088,92.92662410742842,76.07178464606181,26943
6,True,4,91.91567879596506,73.21695760598503,92.67573392915175,75.57328015952145,27727
6,False,4,91.49938400447256,73.71571072319202,92.59192029670257,75.2741774675972,27735
6,True,5,92.27959491643321,74.81296758104739,92.94118122947698,74.77567298105683,28511
6,False,5,92.27353697500413,75.11221945137157,92.88058874759378,74.77567298105683,28531
7,True,3,92.08571173675126,74.96259351620948,92.86426813998992,75.67298105682951,26943
7,False,3,92.1770304049586,75.11221945137157,93.21501814586341,75.47357926221336,26943
7,True,4,91.73009763021265,75.56109725685786,92.77225421676872,75.77268195413758,27727
7,False,4,92.16621153343617,75.91022443890274,93.02795908752391,75.87238285144566,27735
7,True,5,92.29383714452072,76.15960099750623,93.09888970414427,74.57627118644068,28511
7,False,5,92.25922712602065,76.20947630922693,92.88901186926292,74.8753738783649,28531
8,True,3,92.11276652582218,75.71072319201994,92.69825324746166,75.2741774675972,26943
8,False,3,91.87160649299445,75.61097256857855,92.7897637675817,75.2741774675972,26943
8,True,4,92.02882915345744,73.96508728179552,93.37920830662513,75.2741774675972,27727
8,False,4,92.2469906260547,75.11221945137157,93.1126993787679,74.77567298105683,27735
8,True,5,91.76541582905823,75.11221945137157,92.95897438696693,74.57627118644068,28511
8,False,5,92.24346196635528,75.41147132169576,92.4598420640412,74.57627118644068,28531
9,True,3,91.60596411435542,73.96508728179552,92.69702552883959,75.07477567298105,26943
9,False,3,91.78960224129928,74.66334164588528,92.62319807583272,74.97507477567298,26943
9,True,4,92.00611229421057,75.06234413965088,92.76740399992472,73.87836490528414,27727
9,False,4,91.9542318432905,76.9077306733167,93.00026663105685,76.37088733798603,27735
9,True,5,92.11837868801884,76.35910224438904,92.54585825756521,75.2741774675972,28511
9,False,5,92.4000746521712,75.56109725685786,92.97675479313999,76.07178464606181,28531
10,True,3,91.78088443820201,74.76309226932668,92.74451303707504,74.57627118644068,26943
10,False,3,92.13176246051246,74.86284289276807,92.64237872530562,75.3738783649053,26943
10,True,4,92.09091798855465,75.26184538653366,93.08669845204572,76.17148554336988,27727
10,False,4,92.34427676901194,74.51371571072319,92.73648019813584,74.67597208374876,27735
10,True,5,92.25120037230349,74.81296758104739,92.50646787048252,74.8753738783649,28511
10,False,5,92.38044371561477,76.15960099750623,93.25131141359935,75.97208374875373,28531
11,True,3,91.92440619440205,75.11221945137157,92.71938976545408,75.97208374875373,26943
11,False,3,91.76418923536524,74.66334164588528,92.92121602329621,75.2741774675972,26943
11,True,4,92.27508089756125,76.25935162094764,92.68138777492638,75.67298105682951,27727
11,False,4,92.18685573397497,74.81296758104739,92.83057495966338,74.77567298105683,27735
11,True,5,92.28704631515716,75.96009975062344,93.14988705677939,76.17148554336988,28511
11,False,5,92.07617385119498,75.46134663341645,93.27717951260264,75.67298105682951,28531
12,True,3,91.91644385808898,75.91022443890274,92.21772020050881,74.37686939182453,26943
12,False,3,92.08305623480697,76.05985037406484,93.22363181725157,75.97208374875373,26943
12,True,4,92.09009275317194,75.96009975062344,92.97359410487338,75.67298105682951,27727
12,False,4,91.68229640182605,74.713216957606,92.46478935243994,74.27716849451646,27735
12,True,5,91.99513382703819,75.06234413965088,93.11942116722598,75.17447657028913,28511
12,False,5,92.16954370610854,74.91271820448878,92.91410427861383,75.97208374875373,28531
13,True,3,91.80917156407034,75.31172069825436,92.75521087289934,75.3738783649053,26943
13,False,3,91.97734440712479,75.26184538653366,92.91610803408271,75.77268195413758,26943
13,True,4,92.05289973120598,74.96259351620948,92.92973842627052,74.27716849451646,27727
13,False,4,92.32280299223723,75.01246882793018,93.11793655146224,75.3738783649053,27735
13,True,5,91.78306919128208,75.66084788029926,92.76810556427402,74.77567298105683,28511
13,False,5,91.88811204372935,74.96259351620948,92.25058127894619,74.27716849451646,28531
14,True,3,92.53661785321819,75.91022443890274,92.98319924028294,76.76969092721835,26943
14,False,3,91.74465944822792,75.51122194513715,92.64900432031318,75.3738783649053,26943
14,True,4,92.17460499306898,76.05985037406484,93.0948416102014,76.47058823529412,27727
14,False,4,92.17979394205426,76.15960099750623,92.93198731771025,74.97507477567298,27735
14,True,5,92.10246189797526,75.31172069825436,92.58086164058717,75.87238285144566,28511
14,False,5,92.19153381793825,74.91271820448878,92.70419366056207,74.0777666999003,28531
15,True,3,92.07242910668188,75.26184538653366,92.88210332099369,76.37088733798603,26943
15,False,3,92.00009857126926,74.2643391521197,93.0409866970984,75.57328015952145,26943
15,True,4,91.65003373689359,75.26184538653366,92.88918962767725,74.97507477567298,27727
15,False,4,91.65978569319216,74.86284289276807,92.81211777868317,73.57926221335993,27735
15,True,5,92.47671091789177,75.61097256857855,92.88992634599043,74.77567298105683,28511
15,False,5,92.02777919782604,74.46384039900249,92.94386930678759,76.27118644067797,28531
16,True,3,91.81709230513997,74.96259351620948,92.40404895993083,75.07477567298105,26943
16,False,3,91.95572781972974,74.46384039900249,92.85923760656749,75.2741774675972,26943
16,True,4,91.95925998882882,74.713216957606,92.66478170887343,75.67298105682951,27727
16,False,4,92.24167250445143,75.86034912718205,93.17899037861433,74.57627118644068,27735
16,True,5,92.18008976955979,74.91271820448878,92.71111163620945,76.47058823529412,28511
16,False,5,92.21195771730876,75.26184538653366,93.39269127177981,75.3738783649053,28531
17,True,3,92.23119488660616,74.76309226932668,92.75018179028102,74.8753738783649,26943
17,False,3,92.02450219444408,75.06234413965088,92.70041178252562,74.77567298105683,26943
17,True,4,91.93340185287344,75.46134663341645,92.9308924453581,76.07178464606181,27727
17,False,4,92.17124527704266,75.16209476309227,93.0384468791574,74.97507477567298,27735
17,True,5,91.89685715312905,74.1645885286783,92.78479120546537,74.8753738783649,28511
17,False,5,92.28688966608073,74.96259351620948,93.28810443416157,75.87238285144566,28531
18,True,3,91.99978742832874,75.41147132169576,92.61966121541356,74.97507477567298,26943
18,False,3,92.42054374292518,75.26184538653366,92.86980958820895,75.87238285144566,26943
18,True,4,91.86197963716619,74.4139650872818,93.03447817244594,75.47357926221336,27727
18,False,4,92.41681328543763,75.46134663341645,92.78171633755177,75.2741774675972,27735
18,True,5,92.12667981798596,75.26184538653366,93.142960415068,75.87238285144566,28511
18,False,5,91.99318412355774,75.11221945137157,92.63055589206962,73.97806580259221,28531
19,True,3,92.00064181570218,75.56109725685786,92.73931596002365,75.3738783649053,26943
19,False,3,91.8726782527812,75.06234413965088,92.9428670030282,74.37686939182453,26943
19,True,4,92.16306169634991,75.56109725685786,92.92512430440756,75.07477567298105,27727
19,False,4,91.9643013215511,76.05985037406484,92.82345346684836,74.67597208374876,27735
19,True,5,92.03894536036377,75.46134663341645,92.67975018987103,74.27716849451646,28511
19,False,5,92.15668387180055,75.86034912718205,92.86053466614777,75.3738783649053,28531
20,True,3,92.1806605731551,75.31172069825436,92.81980438800679,76.47058823529412,26943
20,False,3,92.01817050266817,76.10972568578553,92.98371291318422,75.87238285144566,26943
20,True,4,91.91303988209185,74.96259351620948,92.37772262355745,73.87836490528414,27727
20,False,4,92.28239084297661,75.36159600997506,92.74587121812749,75.87238285144566,27735
20,True,5,92.17284874634647,75.86034912718205,92.98951821706922,76.47058823529412,28511
20,False,5,92.03923105990984,75.91022443890274,93.13568395368057,75.67298105682951,28531
21,True,3,91.34968056366623,75.26184538653366,92.2862207175178,74.77567298105683,26943
21,False,3,91.70290106582438,75.01246882793018,92.7676587703102,74.97507477567298,26943
21,True,4,91.97117666145206,75.06234413965088,92.69316287988735,75.3738783649053,27727
21,False,4,91.93366906187303,74.713216957606,92.62666538938012,75.3738783649053,27735
21,True,5,92.16598761469382,74.91271820448878,92.59659548706666,76.07178464606181,28511
21,False,5,92.43272279459964,76.60847880299252,92.96258524484887,75.3738783649053,28531
22,True,3,92.21362646224273,76.00997506234414,92.42015136154352,75.3738783649053,26943
22,False,3,92.04522866510568,75.31172069825436,92.9194497136511,74.97507477567298,26943
22,True,4,92.21260599799257,75.71072319201994,93.07672710076615,76.5702891326022,27727
22,False,4,92.37428284430071,76.05985037406484,92.9578045355291,73.87836490528414,27735
22,True,5,92.0845416355191,74.713216957606,92.84675474008634,75.97208374875373,28511
22,False,5,92.32114104836582,75.01246882793018,92.94300963867502,74.8753738783649,28531
23,True,3,92.00136062275351,75.56109725685786,92.89205871761548,76.07178464606181,26943
23,False,3,92.11198620719848,75.41147132169576,93.02229555050707,76.07178464606181,26943
23,True,4,91.88027926699502,75.11221945137157,92.56499594083834,75.2741774675972,27727
23,False,4,92.01772207053335,75.36159600997506,92.71287408967159,75.77268195413758,27735
23,True,5,91.9244494787789,74.3142144638404,92.98678786186744,75.67298105682951,28511
23,False,5,92.46045342699789,75.96009975062344,92.90545084102233,75.57328015952145,28531
24,True,3,91.60977754268644,74.61346633416458,92.86863341169347,73.678963110668,26943
24,False,3,92.24942312663002,75.16209476309227,92.96384222218975,75.47357926221336,26943
24,True,4,92.15607667480953,75.56109725685786,93.10404122055536,75.97208374875373,27727
24,False,4,91.75304414854507,74.11471321695761,92.54719018406034,73.47956131605184,27735
24,True,5,92.13812516968181,75.36159600997506,93.16849056523371,75.47357926221336,28511
24,False,5,92.19391868253919,75.61097256857855,92.87449272136149,74.77567298105683,28531
25,True,3,91.82601609990026,76.10972568578553,93.00420361760115,76.37088733798603,26943
