idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,t,RD,paralel,test_auc,test_acc,val_auc,val_acc
30,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,92.2279492918532,75.31172069825436,72.31920199501248,93.06339099808625
31,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,92.26584621211786,72.71820448877806,72.76807980049875,93.01462887585265
32,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,92.43483124408476,75.41147132169576,72.26932668329177,93.08454958259334
33,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,92.07097343231796,72.06982543640898,72.91770573566085,92.44796180193191
34,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,92.1190481750818,73.41645885286783,73.51620947630923,92.95797585054298
35,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,92.26413474749101,71.92019950124688,73.31670822942642,92.82455345135536
36,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,92.2768603827987,74.11471321695761,73.71571072319202,92.8547255716493
37,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,91.85228093730541,73.96508728179552,73.41645885286783,92.82373864327155
38,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,91.70411581707761,73.16708229426435,73.36658354114714,93.00444347710922
39,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,92.35143962948548,74.4139650872818,72.71820448877806,92.83369686273659
