idx,test_auc,test_acc,val_auc,val_acc,#params
0,92.18531953710854,75.06234413965088,92.7238876914253,74.0777666999003,26919
1,91.86690490737283,74.81296758104739,93.04495702712573,75.07477567298105,26919
2,91.56255223052828,74.3142144638404,92.40848425398802,74.0777666999003,26919
3,92.28671845803706,74.11471321695761,92.81189994540642,73.97806580259221,26919
4,92.18432506480437,74.46384039900249,92.77233309899204,74.97507477567298,26919
5,92.3287169555744,74.713216957606,93.04709693904158,75.57328015952145,26919
6,92.07851875648866,73.66583541147132,92.67341344169697,72.68195413758724,26919
7,92.59615892658444,75.66084788029926,92.85655525704635,74.17746759720838,26919
8,91.81017477910588,74.0149625935162,92.52148506662817,72.78165503489531,26919
9,92.02469956831003,74.76309226932668,92.70424139595106,74.27716849451646,26919
10,92.07761537885563,74.91271820448878,92.89432981865204,74.47657028913261,26919
11,91.82015994001952,74.713216957606,93.0469461666269,74.27716849451646,26919
12,91.74533541686642,72.06982543640898,92.79789115844015,73.77866400797608,26919
13,92.0276295142403,73.66583541147132,92.3830178343738,73.678963110668,26919
14,91.5162642969831,72.96758104738154,92.4519333057113,75.57328015952145,26919
15,92.33550963469146,74.81296758104739,92.7512661918378,75.3738783649053,26919
16,91.8514449652653,74.46384039900249,92.33419251730426,73.97806580259221,26919
17,92.13183557168414,75.06234413965088,93.14086846425333,76.5702891326022,26919
18,92.0334448484274,74.61346633416458,92.8748020163398,75.67298105682951,26919
19,92.22616502913246,73.81546134663341,92.5662793092255,73.37986041874377,26919
20,91.63152529694561,73.51620947630923,92.66832363965281,74.37686939182453,26919
21,92.11278342043983,74.61346633416458,92.74033936194813,74.97507477567298,26919
22,91.90643641763441,73.46633416458853,92.42905533621156,75.57328015952145,26919
23,91.81363523918789,73.76558603491273,92.42266930145672,75.2741774675972,26919
24,91.85545422755422,74.56359102244389,93.00982302903455,75.77268195413758,26919
25,91.35102288343127,74.66334164588528,92.5268337192812,73.77866400797608,26919
26,91.91031002623038,74.61346633416458,92.63817740285158,74.77567298105683,26919
27,92.13392305445858,74.3142144638404,92.90962559430318,74.27716849451646,26919
28,91.7090650278842,73.46633416458853,92.37764905376157,74.97507477567298,26919
29,91.55581848488691,73.56608478802993,93.02558971589384,74.8753738783649,26919
30,91.32986526495807,72.81795511221945,92.477478671739,75.17447657028913,26919
31,91.82596914124525,72.66832917705736,92.23486166910604,72.48255234297109,26919
32,92.0848971642983,75.31172069825436,92.51940260161649,74.8753738783649,26919
33,91.76853287403618,74.214463840399,92.40701309704876,74.17746759720838,26919
34,91.39574015387655,74.4139650872818,93.19731019648198,74.77567298105683,26919
35,91.77494255186402,74.11471321695761,92.80783082615395,74.47657028913261,26919
36,91.83183625491583,72.86783042394015,92.45401553153002,74.67597208374876,26919
37,92.13571109800152,74.11471321695761,92.43432439155605,73.57926221335993,26919
38,91.48729813646742,74.3142144638404,92.54899384774288,74.67597208374876,26919
39,91.80407774234357,74.11471321695761,92.68115673356768,73.97806580259221,26919
40,92.12027890471256,74.11471321695761,92.19271780563658,72.88135593220339,26919
41,91.8535288013495,72.76807980049875,92.47858925452796,74.17746759720838,26919
42,91.76378374228148,74.2643391521197,92.71546014451565,73.678963110668,26919
43,91.6800746849997,74.2643391521197,92.63937767733269,73.57926221335993,26919
44,91.7285152426446,74.61346633416458,92.30360678079838,72.28315054835494,26919
45,91.97065901539135,73.76558603491273,92.7917098888579,74.27716849451646,26919
46,92.41399739877407,75.66084788029926,92.86183759891442,74.47657028913261,26919
47,92.23668925798407,74.96259351620948,93.0136047592791,75.47357926221336,26919
48,92.22799516612383,74.51371571072319,92.7999840067744,73.47956131605184,26919
49,91.91269574402202,73.71571072319202,92.16992552680333,73.678963110668,26919
