idx,test_mse,val_mse,test_auc,test_acc,best_val_auc,best_val_acc,#params
0,0.018199181,0.017340552993118763,73.60539725381798,66.88279301745635,73.91879737681177,66.99900299102693,56463
1,0.01613882,0.015169285703450441,81.01572511680212,66.73316708229426,81.03176921403062,67.79661016949152,56463
2,0.01634636,0.015493226936087012,78.93977238345416,66.58354114713218,80.38854204061194,66.99900299102693,56463
3,0.017002342,0.015971490880474448,64.84142458906071,66.88279301745635,63.87269252271691,66.89930209371884,56463
4,0.013340209,0.01215075422078371,81.61897458597187,67.53117206982544,83.97852720030167,68.79361914257228,56463
5,0.020317934,0.01936326501891017,79.68618757187109,67.23192019950125,82.99968106556719,67.39780658025923,56463
6,0.016194439,0.015382490819320083,81.41945763581714,68.22942643391521,83.49758375566692,68.49451645064806,56463
7,0.017775983,0.016651769634336233,79.61966808686796,67.83042394014963,81.5576478450093,67.79661016949152,56463
8,0.015651088,0.014421190833672881,73.1431266000259,66.73316708229426,74.07552648248578,66.79960119641076,56463
9,0.015656674,0.014434515265747905,75.4840049380917,67.23192019950125,76.85277939790808,67.59720837487538,56463
10,0.016613968,0.015725171891972423,75.32326687519793,66.88279301745635,73.10961104434209,66.79960119641076,56463
12,0.01798186,0.01717128651216626,76.1667725847538,67.03241895261846,80.3094051749229,66.79960119641076,56463
13,0.015340405,0.01415117853321135,76.72351574059864,68.12967581047381,78.95024917332908,66.89930209371884,56463
14,0.01647943,0.0156639008782804,79.06235935068713,65.93516209476309,79.778071496576,65.70289132602194,56463
15,0.019326964,0.018578652292490005,76.48648429732194,67.58104738154613,77.38125209121964,67.79661016949152,56463
16,0.016249152,0.015097435563802719,81.32493875015734,64.78802992518703,82.96283145999527,67.79661016949152,56463
18,0.016128622,0.015284176915884018,77.99319316733674,66.63341645885286,81.45979602793564,67.79661016949152,56463
18,0.016369358,0.015193614410236478,78.58948587861667,65.93516209476309,80.26293217896423,65.60319042871386,56463
19,0.017255263,0.016074892366304994,61.11371074961599,66.88279301745635,60.59361617309765,66.89930209371884,56463
20,0.014870667,0.013892217073589563,61.710613777547906,66.88279301745635,62.956183671360755,66.89930209371884,56463
21,0.017874891,0.017308445181697607,77.31134459124023,66.88279301745635,76.70113482066799,66.89930209371884,56463
22,0.01593564,0.014813902787864208,65.04664980135155,66.88279301745635,66.98134161846403,66.89930209371884,56463
23,0.01687907,0.015922270948067307,77.81719072996813,67.48129675810473,76.12249311525359,67.19840478564308,56463
24,0.015209949,0.013954774243757129,68.65224205573533,66.88279301745635,67.77145552018132,66.89930209371884,56463
25,0.0158067,0.014670058619230986,73.49872533658849,66.88279301745635,75.86138941082481,66.99900299102693,56463
26,0.014973786,0.014005422359332442,81.05359002393853,68.3291770573566,81.26507451371683,68.99302093718843,56463
27,0.018977605,0.018331764731556177,71.19412664604859,66.88279301745635,73.90801396051401,66.89930209371884,56463
28,0.015572361,0.014542217133566737,61.148720097530905,66.88279301745635,60.03222823093806,66.89930209371884,56463
29,0.013989809,0.012967349030077457,79.29886381828707,68.47880299251871,82.22158938382681,68.79361914257228,56463
30,0.0147653045,0.01369774155318737,76.70364239719805,67.23192019950125,77.23416070372888,66.50049850448654,56463
31,0.015085373,0.013807515380904078,78.34767491783593,66.98254364089775,77.40902389005709,67.098703888335,56463
32,0.016878793,0.016066416865214705,62.62712800005428,66.88279301745635,61.22069699229933,66.89930209371884,56463
33,0.014518785,0.013416881673038006,71.40763016554111,66.88279301745635,70.98764635861338,66.89930209371884,56463
34,0.017016795,0.015885607805103064,64.65964718641015,66.88279301745635,64.29632066984982,66.89930209371884,56463
35,0.016313188,0.015416014473885298,75.78054045448958,67.03241895261846,76.82935421573404,66.89930209371884,56463
36,0.0150367,0.01388966990634799,71.64386611699379,66.88279301745635,72.13923932837052,66.89930209371884,56463
37,0.018011337,0.017139900475740433,73.97349306385786,66.88279301745635,76.60418048866158,66.89930209371884,56463
38,0.017895835,0.017202678602188826,72.72451329568537,66.88279301745635,75.53766534059173,66.89930209371884,56463
39,0.018170645,0.017369816545397043,69.98366824555288,66.88279301745635,71.40281414320978,66.50049850448654,56463
40,0.014948552,0.01393213216215372,72.45385577903181,66.88279301745635,75.69647881058138,66.89930209371884,56463
41,0.017882857,0.016795961186289787,77.07284176524293,66.88279301745635,79.99147683286625,66.89930209371884,56463
42,0.013425885,0.01194961671717465,79.24467343912053,65.8852867830424,80.52985623712472,65.50348953140578,56463
43,0.017516498,0.016654072795063257,64.30958771279826,66.88279301745635,64.43030115746502,66.89930209371884,56463
44,0.018254885,0.01740949507802725,66.2517162174494,66.88279301745635,67.5658008560322,66.89930209371884,56463
45,0.016086383,0.014906459720805287,73.4567273812049,66.68329177057356,74.1909969448497,66.20139581256231,56463
46,0.01782634,0.017369931563735008,75.23443144874943,67.13216957605985,76.48529732520598,66.10169491525424,56463
47,0.0153282955,0.014286156976595521,77.09481436049158,67.53117206982544,78.66769621830248,68.39481555333998,56463
48,0.014201997,0.012909933924674988,67.75827550395842,66.88279301745635,66.05094867382822,66.89930209371884,56463
49,0.015020643,0.014067112701013684,78.89185780547665,64.78802992518703,79.74738135339386,66.10169491525424,56463
50,0.01609456,0.015065423678606749,71.85235093079527,66.88279301745635,71.89214994318353,66.89930209371884,56463
51,0.017563459,0.01664525968953967,74.09463381461957,66.88279301745635,74.43232418834859,66.89930209371884,56463
52,0.017683806,0.016780718229711056,71.11463751732833,66.88279301745635,72.3359420245396,66.89930209371884,56463
53,0.018245501,0.017350236885249615,72.14379576390225,64.93765586034912,74.7978899466828,63.70887337986042,56463
54,0.015153008,0.013966921949759126,62.60980884019558,66.88279301745635,62.34479789296853,66.89930209371884,56463
55,0.016758459,0.015660651959478855,60.82325673063818,66.88279301745635,63.425751632750384,66.89930209371884,56463
56,0.015489815,0.014428900554776192,71.59316711718289,66.93266832917706,74.09029098277769,66.99900299102693,56463
57,0.016446816,0.014889545273035765,77.37344567632081,66.73316708229426,78.7613849988297,66.89930209371884,56463
58,0.015801929,0.014651054050773382,81.7405267053627,67.98004987531172,80.60980545570781,66.10169491525424,56463
59,0.014968386,0.014003518968820572,79.09481112084646,66.38403990024938,80.4379839568184,66.20139581256231,56463
60,0.015710142,0.014823793899267912,62.29894796100831,66.88279301745635,62.900566866289864,66.89930209371884,56463
