idx,quantum_classification,test_auc,test_acc,val_auc,val_acc,#params
0,False,92.44934420629927,74.713216957606,93.17024139192644,76.07178464606181,26943
0,True,83.78250180240254,71.77057356608478,84.14962479196278,73.87836490528414,26887
1,False,91.97904961013528,74.81296758104739,92.87722019444124,74.0777666999003,26943
1,True,86.15014787409334,71.67082294264338,87.00585429193495,73.77866400797608,26887
2,False,91.69531549807344,73.96508728179552,92.48366972428163,74.27716849451646,26943
2,True,85.70441841431283,72.56857855361596,87.57550659152339,72.88135593220339,26887
3,False,92.3493829936295,74.51371571072319,92.72600151819975,75.67298105682951,26943
3,True,83.85364258143001,72.56857855361596,86.40027521203385,73.97806580259221,26887
4,False,91.67194955989734,73.66583541147132,92.1553069795966,74.47657028913261,26943
4,True,86.19820821208147,72.76807980049875,87.09166662197632,74.37686939182453,26887
5,False,92.27814668171051,74.713216957606,93.03271263911881,75.3738783649053,26943
5,True,86.56505745947267,73.01745635910224,86.60473924222265,73.57926221335993,26887
6,False,91.70930134933722,74.46384039900249,92.93118053067889,74.47657028913261,26943
6,True,85.14553555382297,73.86533665835412,86.96705660115236,74.97507477567298,26887
7,False,92.32115835068437,75.86034912718205,92.7513346848143,75.3738783649053,26943
7,True,85.12981693692242,72.91770573566085,88.08883365253392,74.27716849451646,26887
8,False,92.09043862567066,73.16708229426435,92.82208553273745,74.47657028913261,26943
8,True,84.58875827526859,73.31670822942642,84.35802746224532,74.0777666999003,26887
9,False,92.04199783889997,74.76309226932668,92.90257052787993,74.77567298105683,26943
9,True,83.48809523290093,73.91521197007481,86.00906084823733,75.47357926221336,26887
10,False,91.87948921356502,74.91271820448878,92.94775569411809,75.3738783649053,26943
10,True,84.53421873953407,72.36907730673316,85.57321204786594,73.87836490528414,26887
11,False,92.20279131514958,76.10972568578553,92.63587798541202,75.2741774675972,26943
11,True,86.46265630549642,73.21695760598503,84.77281281518125,75.47357926221336,26887
12,False,91.99690065272864,74.56359102244389,93.01109655114162,76.47058823529412,26943
12,True,84.42081990864914,72.11970074812967,84.08190974253863,73.28015952143569,26887
13,False,92.10000987712067,74.56359102244389,92.80785468316705,74.57627118644068,26943
13,True,85.17044919188677,72.36907730673316,86.45669056858105,74.8753738783649,26887
14,False,92.15222667425039,74.86284289276807,92.35964162991634,73.87836490528414,26943
14,True,85.75344668285302,73.46633416458853,87.422825343522,75.07477567298105,26887
15,False,92.19978971993302,75.11221945137157,93.25427540219152,74.37686939182453,26943
15,True,83.49764207381541,72.11970074812967,85.4601560181215,73.08075772681954,26887
16,False,92.02075646757712,74.61346633416458,92.87935342937695,74.67597208374876,26943
16,True,82.89075470752432,73.01745635910224,82.81617118690451,74.37686939182453,26887
17,False,92.0187879718349,74.91271820448878,92.38934952564037,73.77866400797608,26943
17,True,85.32512212365285,72.61845386533666,86.35496236109907,73.678963110668,26887
18,False,92.3350184634183,75.61097256857855,93.16686942276833,75.17447657028913,26943
18,True,83.23059382568728,72.21945137157107,85.23277215320032,74.67597208374876,26887
19,False,92.11938415550183,74.66334164588528,93.02993737903705,75.57328015952145,26943
19,True,84.5256264758076,72.81795511221945,85.08096378520545,76.07178464606181,26887
20,False,92.16647123340798,74.91271820448878,93.14509904137495,75.47357926221336,26943
20,True,84.01207358206706,73.71571072319202,87.53226831356298,74.27716849451646,26887
21,False,92.25464675950612,74.713216957606,93.00127530535394,76.37088733798603,26943
21,True,83.95158340312044,72.91770573566085,85.21744231491043,74.97507477567298,26887
22,False,92.35367800425422,74.56359102244389,92.76576493478498,75.3738783649053,26943
22,True,85.71723165807832,72.71820448877806,86.19931093673164,74.37686939182453,26887
23,False,92.35169577086938,75.26184538653366,92.87640555828848,75.3738783649053,26943
23,True,84.79486610842436,73.16708229426435,87.24414558407229,73.37986041874377,26887
24,False,92.00684362960313,74.2643391521197,92.9955790798339,73.97806580259221,26943
24,True,85.13479187241799,73.06733167082294,87.00227823645056,74.17746759720838,26887
