idx,test_auc,test_acc,val_auc,val_acc,#params
0,92.04763227022525,75.56109725685786,92.80874393338692,75.67298105682951,26943
1,92.07903293287588,75.06234413965088,92.79443449770206,74.8753738783649,26943
2,91.60188002059344,74.46384039900249,92.45297595988103,75.3738783649053,26943
3,91.94691960895102,75.11221945137157,92.88846704111509,75.2741774675972,26943
4,91.8329299592782,74.0149625935162,92.80354655982126,75.47357926221336,26943
5,91.92976539908709,75.01246882793018,92.91446918039966,75.47357926221336,26943
6,92.17513128306844,75.71072319201994,92.62098001858573,75.77268195413758,26943
7,91.80755823529567,74.713216957606,92.85850801099296,74.77567298105683,26943
8,91.781254309366,75.41147132169576,92.44168675409547,75.97208374875373,26943
9,91.80474801204134,74.96259351620948,92.92429878132748,76.37088733798603,26943
10,92.08768563121393,75.41147132169576,92.72917358581887,75.67298105682951,26943
11,91.93629183036698,75.91022443890274,92.8132635596142,75.3738783649053,26943
12,92.28744456962029,74.86284289276807,92.84801089339716,75.3738783649053,26943
13,91.81931387038294,74.61346633416458,92.63849389361367,76.17148554336988,26943
14,91.89095488334932,75.21197007481297,92.92846735263718,74.77567298105683,26943
15,91.82865689758823,74.713216957606,92.50360785389104,74.97507477567298,26943
16,92.12480370062337,75.96009975062344,92.85080803128614,76.07178464606181,26943
17,91.6673575227226,75.01246882793018,92.7438373603685,75.77268195413758,26943
18,92.03210650779542,74.91271820448878,92.85213321293638,76.27118644067797,26943
19,91.87517851286209,73.71571072319202,92.73640105027474,74.47657028913261,26943
20,91.89518618767242,74.61346633416458,92.8442901140356,76.37088733798603,26943
21,92.25230808321801,74.91271820448878,92.6101018220504,75.57328015952145,26943
22,92.32618939732046,76.25935162094764,93.00669353103443,75.87238285144566,26943
23,92.01993997145095,74.81296758104739,92.97247894940851,77.16849451645065,26943
24,92.14384192884218,76.25935162094764,92.8216137124861,76.37088733798603,26943
25,92.04164433685634,75.91022443890274,93.13529562077096,76.86939182452642,26943
26,92.01580369993226,74.81296758104739,92.64663679538643,74.67597208374876,26943
27,91.60386419462557,73.31670822942642,92.24764176196307,74.77567298105683,26943
28,91.50514388359542,74.3142144638404,92.46567259685399,75.3738783649053,26943
29,92.79520160320506,76.40897755610972,92.83113491510318,75.67298105682951,26943
30,91.90397763501333,74.51371571072319,92.5189370409415,75.77268195413758,26943
31,91.82643736146575,74.11471321695761,93.0087547624028,76.07178464606181,26943
32,92.27817180055679,74.86284289276807,92.99121245449976,75.77268195413758,26943
33,92.23342713734695,76.00997506234414,92.65977575447876,75.47357926221336,26943
34,91.90648832028289,75.36159600997506,92.7399917331707,75.47357926221336,26943
35,92.25447042510616,75.06234413965088,92.77544435918905,75.87238285144566,26943
36,92.24938626236361,74.713216957606,92.7654682643697,75.3738783649053,26943
37,91.97427800705978,76.10972568578553,92.73749944511657,75.97208374875373,26943
38,92.625882934171,75.96009975062344,92.93202452354807,75.17447657028913,26943
39,92.08490581863076,76.05985037406484,92.93921810248013,76.9690927218345,26943
40,92.24856500536471,76.00997506234414,92.87118524637307,76.37088733798603,26943
41,91.89768928305655,75.66084788029926,93.15100712427734,74.97507477567298,26943
42,92.21322727153337,75.46134663341645,92.96335870648164,75.67298105682951,26943
43,92.18281140978942,74.56359102244389,92.57388283435075,76.17148554336988,26943
44,91.83751555129695,74.3142144638404,92.7136163066038,75.3738783649053,26943
45,92.33718002971624,76.35910224438904,92.92256836758973,75.2741774675972,26943
46,92.00138669434568,76.15960099750623,93.05917832976088,74.57627118644068,26943
47,91.96128005731049,74.713216957606,92.97996919757962,75.77268195413758,26943
48,92.17679829049888,75.31172069825436,92.49204366701026,75.2741774675972,26943
49,92.2551449936169,74.91271820448878,92.75433594143178,76.17148554336988,26943
