idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,t,RD,paralel,test_auc,test_acc,val_auc,val_acc
0,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.25}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,2,92.19496411813947,75.11221945137157,74.61346633416458,93.05497616617579
1,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.25}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,2,92.29574033864102,75.51122194513715,75.71072319201994,93.04293369524841
2,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.25}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,2,92.40981409262157,73.86533665835412,76.40897755610972,93.2042408494559
3,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.25}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,2,92.25678829993356,75.81047381546135,74.214463840399,92.85498760956365
4,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.25}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,2,92.33927690868633,74.66334164588528,74.46384039900249,93.03249090917579
5,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.25}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,2,91.87495954258459,72.71820448877806,73.61596009975062,92.46079110585512
6,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.25}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,2,91.81443644145685,74.214463840399,73.46633416458853,92.94356124739716
7,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.25}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,2,92.37165298147603,74.96259351620948,74.96259351620948,92.89407487694386
8,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.25}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,2,92.42197835523723,74.86284289276807,74.91271820448878,93.42210165355011
9,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.25}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,2,92.06315400411344,75.01246882793018,75.81047381546135,93.02746199544468
