idx,RBF_similarity,test_auc,test_acc,val_auc,val_acc,#params
0,1,91.93954186678414,75.01246882793018,92.93159559600177,74.67597208374876,26943
1,1,91.76690503836943,74.56359102244389,93.05386265684294,73.28015952143569,26943
2,1,91.90694915295207,74.96259351620948,92.90511857340366,74.97507477567298,26943
3,1,92.32977919463234,75.01246882793018,92.98740856232482,75.3738783649053,26943
4,1,92.23088844457521,74.81296758104739,92.95370872305439,75.2741774675972,26943
5,1,91.90341334850197,74.56359102244389,92.92817455216534,75.3738783649053,26943
6,1,91.89990168101025,74.51371571072319,93.14218082747487,73.18045862412762,26943
7,1,91.7767386730406,74.56359102244389,92.88189276625613,75.2741774675972,26943
8,1,91.51200952870087,73.81546134663341,93.0179578150134,74.0777666999003,26943
9,1,92.24817223147464,74.06483790523691,92.85337805649911,74.77567298105683,26943
10,1,91.65572105886875,73.51620947630923,92.9125504484683,75.57328015952145,26943
11,1,92.05051323027527,74.4139650872818,92.86722078075546,73.18045862412762,26943
12,1,91.76173200837266,73.51620947630923,92.45063821490253,73.678963110668,26943
13,1,92.1587804902908,74.214463840399,92.84154717834507,75.67298105682951,26943
14,1,91.73953242568295,73.11720698254364,92.52291747873612,75.07477567298105,26943
15,1,91.99599139442383,74.56359102244389,92.67075959980228,74.67597208374876,26943
16,1,92.36935969190314,74.86284289276807,93.06750114473336,74.37686939182453,26943
17,1,91.97343634566421,74.66334164588528,92.66477985224813,75.47357926221336,26943
18,1,92.23228324292441,74.3640897755611,92.98589859424509,75.87238285144566,26943
19,1,91.85712758247774,75.06234413965088,92.51011897534569,75.57328015952145,26943
20,1,92.11049240327766,74.4139650872818,92.57296637457252,75.3738783649053,26943
21,1,91.92175733555497,74.91271820448878,92.92161452381463,74.8753738783649,26943
22,1,92.04380173297395,74.76309226932668,93.10561227988605,75.57328015952145,26943
23,1,92.00071242713722,74.91271820448878,93.03102044353707,74.37686939182453,26943
24,1,91.96371131016905,73.51620947630923,92.98967140155881,75.07477567298105,26943
25,1,92.2604041863471,73.46633416458853,93.08208231655274,75.07477567298105,26943
26,1,92.49967050862942,74.2643391521197,93.43882027791331,76.27118644067797,26943
27,1,91.9193421912356,72.71820448877806,92.90125388103564,75.17447657028913,26943
28,1,92.05271246894333,74.61346633416458,92.75200842230957,76.27118644067797,26943
29,1,91.84079559408978,74.214463840399,92.89917868856163,75.47357926221336,26943
30,1,92.15562738157034,74.86284289276807,92.79934521259196,74.57627118644068,26943
31,1,92.34548231178704,75.76059850374065,93.01297610526358,76.47058823529412,26943
32,1,91.84668223657745,75.06234413965088,93.13126456525929,75.87238285144566,26943
33,1,92.20449716107757,74.76309226932668,92.58796643442322,74.97507477567298,26943
34,1,91.96931703098471,74.713216957606,92.80586018483348,75.57328015952145,26943
35,1,91.45914659273086,74.76309226932668,92.80443429765525,75.77268195413758,26943
36,1,92.27138209036562,73.76558603491273,92.87311576354821,74.67597208374876,26943
37,1,91.92812072570563,74.214463840399,93.10012205732178,74.47657028913261,26943
38,1,92.05273685047585,74.96259351620948,92.95558962448764,76.37088733798603,26943
39,1,91.74838864342203,74.46384039900249,92.7968270355994,73.97806580259221,26943
40,1,92.27209546617362,74.713216957606,93.2599663324682,76.37088733798603,26943
41,1,92.1927529563421,74.91271820448878,92.92199797306931,74.47657028913261,26943
42,1,91.95752687466313,74.56359102244389,92.60275342149762,74.27716849451646,26943
43,1,92.25698051276943,74.3142144638404,93.4606882250117,74.47657028913261,26943
44,1,91.94806862964647,73.76558603491273,93.1291510750604,75.3738783649053,26943
45,1,91.86283768874594,74.3640897755611,92.7238822250886,74.0777666999003,26943
46,1,92.13535824492165,75.46134663341645,93.08244178228972,74.17746759720838,26943
47,1,91.7482006421644,73.81546134663341,92.75378258334584,75.67298105682951,26943
48,1,91.59580487232405,73.91521197007481,93.06582772362901,76.27118644067797,26943
49,1,91.70419563381522,73.71571072319202,92.90003626685574,74.27716849451646,26943
