idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,t,RD,paralel,test_auc,test_acc,val_auc,val_acc
23,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.39072078301955,73.41645885286783,73.76558603491273,92.36865929471404
24,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.85850504993951,73.86533665835412,73.81546134663341,92.80081054488747
25,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,92.21403091260679,75.16209476309227,74.96259351620948,93.13112135529711
26,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.91974231453521,73.51620947630923,72.96758104738154,93.21479518920276
27,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.58340603127273,74.56359102244389,74.46384039900249,92.59231979477563
28,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.812254166194,75.01246882793018,74.81296758104739,92.92496855540726
29,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.91656562750693,74.4139650872818,73.51620947630923,92.76441412623278
30,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.60940916988682,72.86783042394015,72.76807980049875,92.3187141806448
31,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.40881947526263,74.214463840399,73.81546134663341,92.31833658559225
32,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.75984168127704,74.61346633416458,71.3216957605985,92.83728453435597
